Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.72  	82                   	
A2  	25.81  	80                   	
A3  	24.97  	80                   	
A4  	20.56  	77                   	
A5  	18.08  	81.5                 	
A6  	20.7   	81.5                 	
A7  	22.73  	77.5                 	
A8  	20.25  	78                   	
A9  	29.91  	82                   	
A10 	26.46  	80.5                 	
A11 	24.53  	79.5                 	
A12 	20.94  	78.5                 	
B1  	17.99  	82                   	
B2  	25.86  	80                   	
B3  	24.89  	79.5                 	
B4  	19.76  	77                   	
B5  	17.82  	81.5                 	
B6  	20.01  	81                   	
B7  	22.2   	77.5                 	
B8  	19.84  	78                   	
B9  	29.07  	82                   	
B10 	25.26  	81                   	
B11 	24.13  	79.5                 	
B12 	20.84  	78.5                 	
C1  	18.97  	82                   	
C2  	25.5   	80                   	
C3  	24.63  	80                   	
C4  	20.5   	77.5                 	
C5  	18.76  	81.5                 	
C6  	20.66  	81.5                 	
C7  	22.77  	77.5                 	
C8  	20.58  	78.5                 	
C9  	29.89  	82.5                 	
C10 	26.52  	81                   	
C11 	24.87  	79.5                 	
C12 	20.74  	78.5                 	
D1  	18.86  	82                   	
D2  	27.11  	80                   	
D3  	26.57  	80                   	
D4  	20.52  	77.5                 	
D5  	18.77  	81.5                 	
D6  	20.08  	81.5                 	
D7  	22.77  	77.5                 	
D8  	19.96  	78.5                 	
D9  	29.5   	82.5                 	
D10 	26.5   	81                   	
D11 	24.67  	79.5                 	
D12 	21.09  	78.5                 	
E1  	19.86  	82                   	
E2  	26.8   	80                   	
E3  	26.71  	80                   	
E4  	20.83  	77.5                 	
E5  	19.59  	81.5                 	
E6  	20.89  	81.5                 	
E7  	23.27  	78                   	
E8  	20.74  	78.5                 	
E9  	39.2   	58.5                 	
E10 	27.43  	81                   	
E11 	25.61  	79.5                 	
E12 	21.81  	78.5                 	
F1  	19.32  	82                   	
F2  	26.62  	80                   	
F3  	26.23  	80                   	
F4  	20.75  	77.5                 	
F5  	18.89  	81.5                 	
F6  	20.65  	81                   	
F7  	22.89  	77.5                 	
F8  	20.4   	78.5                 	
F9  	32.39  	82.5                 	
F10 	25.84  	81                   	
F11 	25.04  	79.5                 	
F12 	21.15  	78.5                 	
G1  	18.89  	82                   	
G2  	23.91  	80                   	
G3  	16.93  	80                   	
G4  	17.98  	77.5                 	
G5  	18.21  	81.5                 	
G6  	18.93  	81                   	
G7  	22.08  	77.5                 	
G8  	20.2   	78                   	
G9  	19.44  	82.5                 	
G10 	21.83  	81                   	
G11 	24.21  	79.5                 	
G12 	20.13  	78.5                 	
H1  	No Cq  	57.5                 	
H2  	No Cq  	80                   	
H3  	No Cq  	79.5                 	
H4  	No Cq  	77                   	
H5  	No Cq  	55                   	
H6  	No Cq  	57.5                 	
H7  	No Cq  	77.5                 	
H8  	No Cq  	71.5                 	
H9  	No Cq  	55                   	
H10 	No Cq  	81                   	
H11 	No Cq  	57.5                 	
H12 	No Cq  	55                   	
