Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.65  	82                   	
A2  	26.1   	80                   	
A3  	24.7   	80                   	
A4  	20.43  	77                   	
A5  	17.91  	81.5                 	
A6  	20.37  	81.5                 	
A7  	22.44  	77.5                 	
A8  	20.02  	78                   	
A9  	29.45  	82                   	
A10 	26.06  	80.5                 	
A11 	24.59  	79.5                 	
A12 	21.01  	78.5                 	
B1  	17.92  	82                   	
B2  	25.8   	80                   	
B3  	24.68  	80                   	
B4  	19.61  	77                   	
B5  	17.74  	81.5                 	
B6  	19.79  	81                   	
B7  	22.21  	77.5                 	
B8  	19.7   	78                   	
B9  	28.75  	82.5                 	
B10 	25.08  	80.5                 	
B11 	23.87  	79.5                 	
B12 	20.79  	78.5                 	
C1  	18.92  	82                   	
C2  	25.24  	80                   	
C3  	24.55  	80                   	
C4  	20.36  	77                   	
C5  	18.68  	81.5                 	
C6  	20.49  	81.5                 	
C7  	22.64  	77.5                 	
C8  	20.49  	78                   	
C9  	30.54  	82.5                 	
C10 	25.67  	80.5                 	
C11 	24.76  	79.5                 	
C12 	20.76  	78.5                 	
D1  	18.73  	82                   	
D2  	26.64  	80                   	
D3  	26.63  	80                   	
D4  	20.45  	77                   	
D5  	18.64  	81.5                 	
D6  	19.85  	81                   	
D7  	22.63  	77.5                 	
D8  	19.94  	78.5                 	
D9  	29.78  	82.5                 	
D10 	26.25  	81                   	
D11 	24.72  	79.5                 	
D12 	20.96  	79                   	
E1  	19.71  	82                   	
E2  	26.3   	80                   	
E3  	27.01  	80                   	
E4  	20.64  	77.5                 	
E5  	19.46  	81.5                 	
E6  	21.21  	81.5                 	
E7  	23.22  	77.5                 	
E8  	20.76  	78.5                 	
E9  	37.95  	81.5                 	
E10 	28.09  	81                   	
E11 	25.7   	79.5                 	
E12 	21.67  	78.5                 	
F1  	19.48  	82                   	
F2  	26.55  	80                   	
F3  	26.15  	80                   	
F4  	20.61  	77                   	
F5  	18.68  	81.5                 	
F6  	20.51  	81                   	
F7  	22.84  	78                   	
F8  	20.14  	78.5                 	
F9  	30.9   	82.5                 	
F10 	26.13  	81                   	
F11 	25.2   	79.5                 	
F12 	21.49  	78.5                 	
G1  	18.75  	82                   	
G2  	23.71  	80                   	
G3  	16.95  	80                   	
G4  	17.78  	77                   	
G5  	17.99  	81.5                 	
G6  	18.74  	81                   	
G7  	21.86  	77.5                 	
G8  	20.09  	78                   	
G9  	19.57  	82.5                 	
G10 	21.66  	81                   	
G11 	24.11  	79.5                 	
G12 	19.94  	78.5                 	
H1  	No Cq  	57.5                 	
H2  	No Cq  	68                   	
H3  	No Cq  	62.5                 	
H4  	No Cq  	77.5                 	
H5  	No Cq  	55                   	
H6  	No Cq  	55                   	
H7  	No Cq  	77.5                 	
H8  	No Cq  	78                   	
H9  	No Cq  	55                   	
H10 	No Cq  	76.5                 	
H11 	No Cq  	57.5                 	
H12 	No Cq  	57.5                 	
