Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	19.83  	82                   	
A2  	24.9   	80                   	
A3  	23.39  	80                   	
A4  	19.96  	77                   	
A5  	19.16  	81.5                 	
A6  	19.95  	81                   	
A7  	23.16  	77.5                 	
A8  	20.9   	78.5                 	
A9  	26.53  	82.5                 	
A10 	24.98  	81                   	
A11 	25.93  	79.5                 	
A12 	20.95  	78.5                 	
B1  	19.25  	82                   	
B2  	26.67  	80                   	
B3  	25.69  	80                   	
B4  	20.75  	77                   	
B5  	18.78  	81.5                 	
B6  	21.09  	81                   	
B7  	22.95  	77.5                 	
B8  	20.36  	78.5                 	
B9  	28.3   	82.5                 	
B10 	26.7   	81                   	
B11 	25.6   	79.5                 	
B12 	21.15  	78.5                 	
C1  	18.95  	82                   	
C2  	25.64  	80                   	
C3  	24.31  	80                   	
C4  	19.83  	77                   	
C5  	18.56  	81.5                 	
C6  	20.58  	81.5                 	
C7  	22.51  	78                   	
C8  	20.2   	78.5                 	
C9  	27.83  	82.5                 	
C10 	25.36  	81                   	
C11 	25     	80                   	
C12 	20.84  	79                   	
D1  	19.25  	82                   	
D2  	24.36  	80                   	
D3  	19.24  	80                   	
D4  	19.12  	77.5                 	
D5  	19.01  	81.5                 	
D6  	19.64  	81                   	
D7  	22.64  	78                   	
D8  	20.72  	78.5                 	
D9  	22.67  	82.5                 	
D10 	23.09  	81                   	
D11 	24.97  	80                   	
D12 	20.6   	79                   	
E1  	19.43  	82                   	
E2  	24.45  	80                   	
E3  	20.89  	80.5                 	
E4  	18.87  	77.5                 	
E5  	18.86  	81.5                 	
E6  	19.53  	81                   	
E7  	22.77  	78                   	
E8  	20.6   	78.5                 	
E9  	25.15  	82.5                 	
E10 	23.59  	81                   	
E11 	25.44  	80                   	
E12 	20.53  	79                   	
F1  	18.99  	82                   	
F2  	24.58  	80                   	
F3  	20.14  	80                   	
F4  	18.96  	77.5                 	
F5  	18.77  	81.5                 	
F6  	19.84  	81                   	
F7  	22.81  	77.5                 	
F8  	20.71  	78.5                 	
F9  	25.84  	82.5                 	
F10 	24.34  	81                   	
F11 	25     	80                   	
F12 	20.61  	79                   	
G1  	19.19  	82                   	
G2  	25.76  	80                   	
G3  	24.71  	80                   	
G4  	20.04  	77                   	
G5  	18.86  	81.5                 	
G6  	20.04  	81.5                 	
G7  	22.72  	77.5                 	
G8  	20.68  	78.5                 	
G9  	27.46  	82.5                 	
G10 	25.93  	81                   	
G11 	25.44  	79.5                 	
G12 	21.09  	79                   	
H1  	No Cq  	57                   	
H2  	No Cq  	80.5                 	
H3  	No Cq  	60                   	
H4  	No Cq  	76.5                 	
H5  	No Cq  	57.5                 	
H6  	No Cq  	58                   	
H7  	No Cq  	57.5                 	
H8  	No Cq  	78.5                 	
H9  	No Cq  	58                   	
H10 	No Cq  	79.5                 	
H11 	No Cq  	57.5                 	
H12 	No Cq  	57.5                 	
