Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.44  	82.5                 	
A2  	25.41  	80                   	
A3  	26.21  	80                   	
A4  	20.23  	77.5                 	
A5  	18.41  	81.5                 	
A6  	19.63  	81                   	
A7  	22.26  	77.5                 	
A8  	19.63  	78.5                 	
A9  	28.98  	82.5                 	
A10 	25.56  	81                   	
A11 	24.43  	79.5                 	
A12 	20.59  	79                   	
B1  	19.7   	82.5                 	
B2  	26.21  	80                   	
B3  	25.73  	80                   	
B4  	20.7   	77.5                 	
B5  	20.38  	81.5                 	
B6  	21.45  	81.5                 	
B7  	23.36  	77.5                 	
B8  	20.83  	78.5                 	
B9  	30.37  	82.5                 	
B10 	25.7   	81                   	
B11 	25.62  	79.5                 	
B12 	21.49  	79                   	
C1  	18.72  	82.5                 	
C2  	26.2   	80                   	
C3  	26.45  	80                   	
C4  	19.85  	77.5                 	
C5  	18.93  	81.5                 	
C6  	20.42  	81.5                 	
C7  	22.66  	78                   	
C8  	20.52  	78.5                 	
C9  	29.53  	82.5                 	
C10 	25.7   	81                   	
C11 	24.77  	79.5                 	
C12 	20.84  	79                   	
D1  	19.94  	82.5                 	
D2  	26.38  	80                   	
D3  	26.62  	80                   	
D4  	21.31  	77.5                 	
D5  	20.76  	81.5                 	
D6  	20.89  	81.5                 	
D7  	23.67  	77.5                 	
D8  	21.46  	78.5                 	
D9  	29.32  	82.5                 	
D10 	27.39  	81                   	
D11 	25.77  	80                   	
D12 	21.76  	79                   	
E1  	19.85  	82.5                 	
E2  	25.65  	80                   	
E3  	28.28  	80                   	
E4  	20.66  	77.5                 	
E5  	20.37  	81.5                 	
E6  	20.68  	81                   	
E7  	23.38  	78                   	
E8  	20.84  	78.5                 	
E9  	30.42  	82.5                 	
E10 	26.45  	81                   	
E11 	25.79  	80                   	
E12 	21.64  	79                   	
F1  	18.94  	82.5                 	
F2  	25.77  	80                   	
F3  	24.73  	80                   	
F4  	19.72  	77.5                 	
F5  	18.79  	81.5                 	
F6  	19.85  	81                   	
F7  	22.67  	78                   	
F8  	19.97  	78.5                 	
F9  	27.58  	82.5                 	
F10 	25.64  	81                   	
F11 	24.86  	80                   	
F12 	20.94  	79                   	
G1  	19.14  	82.5                 	
G2  	25.79  	80                   	
G3  	25.83  	80                   	
G4  	20.06  	77.5                 	
G5  	19.52  	81.5                 	
G6  	19.98  	81                   	
G7  	22.61  	78                   	
G8  	20.01  	78.5                 	
G9  	27.7   	82.5                 	
G10 	25.59  	81                   	
G11 	24.95  	80                   	
G12 	20.87  	79                   	
H1  	No Cq  	57                   	
H2  	No Cq  	80                   	
H3  	No Cq  	80                   	
H4  	No Cq  	95                   	
H5  	No Cq  	57.5                 	
H6  	No Cq  	57                   	
H7  	No Cq  	55                   	
H8  	No Cq  	58                   	
H9  	33.92  	85                   	
H10 	No Cq  	80                   	
H11 	No Cq  	57.5                 	
H12 	No Cq  	57                   	
