Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.41  	82.5                 	
A2  	25.6   	80                   	
A3  	26.31  	80                   	
A4  	19.74  	77.5                 	
A5  	17.8   	81.5                 	
A6  	19.6   	81                   	
A7  	22.4   	77.5                 	
A8  	19.65  	78.5                 	
A9  	28.58  	82.5                 	
A10 	25.45  	81                   	
A11 	24.63  	80                   	
A12 	20.49  	79                   	
B1  	19.69  	82.5                 	
B2  	26.41  	80                   	
B3  	25.68  	80                   	
B4  	20.67  	77.5                 	
B5  	19.39  	81.5                 	
B6  	21.34  	81.5                 	
B7  	23.61  	77.5                 	
B8  	20.82  	78.5                 	
B9  	29.52  	82.5                 	
B10 	25.67  	81                   	
B11 	25.57  	80                   	
B12 	21.5   	79                   	
C1  	18.73  	82.5                 	
C2  	25.82  	80                   	
C3  	26.75  	80                   	
C4  	19.95  	77.5                 	
C5  	18.5   	81.5                 	
C6  	20.18  	81.5                 	
C7  	22.79  	77.5                 	
C8  	20.27  	78.5                 	
C9  	29.07  	82.5                 	
C10 	25.82  	81                   	
C11 	25.19  	80                   	
C12 	21.01  	79                   	
D1  	19.95  	82.5                 	
D2  	26.57  	80                   	
D3  	26.93  	80.5                 	
D4  	21.41  	77.5                 	
D5  	19.74  	81.5                 	
D6  	20.96  	81.5                 	
D7  	23.62  	78                   	
D8  	21.14  	78.5                 	
D9  	27.98  	82.5                 	
D10 	27.35  	81                   	
D11 	26.1   	80                   	
D12 	21.87  	79                   	
E1  	19.86  	82.5                 	
E2  	25.67  	80                   	
E3  	27.95  	80.5                 	
E4  	20.71  	77.5                 	
E5  	19.48  	81.5                 	
E6  	20.71  	81                   	
E7  	23.53  	78                   	
E8  	20.9   	78.5                 	
E9  	29.65  	82.5                 	
E10 	27.55  	81                   	
E11 	26.19  	80                   	
E12 	21.69  	79                   	
F1  	18.86  	82.5                 	
F2  	25.58  	80                   	
F3  	24.65  	80.5                 	
F4  	19.81  	77.5                 	
F5  	18.65  	81.5                 	
F6  	19.94  	81.5                 	
F7  	22.69  	78                   	
F8  	20.02  	78.5                 	
F9  	27.7   	82.5                 	
F10 	25.66  	81                   	
F11 	25.1   	80                   	
F12 	20.99  	79                   	
G1  	18.97  	82.5                 	
G2  	25.84  	80                   	
G3  	25.91  	80.5                 	
G4  	20.03  	77.5                 	
G5  	18.77  	81.5                 	
G6  	19.93  	81                   	
G7  	22.84  	78                   	
G8  	20.06  	78.5                 	
G9  	27.89  	82.5                 	
G10 	25.49  	81                   	
G11 	25.43  	80                   	
G12 	20.73  	79                   	
H1  	No Cq  	57                   	
H2  	No Cq  	55                   	
H3  	38.42  	77                   	
H4  	No Cq  	77                   	
H5  	No Cq  	57                   	
H6  	No Cq  	58                   	
H7  	No Cq  	77.5                 	
H8  	No Cq  	58                   	
H9  	No Cq  	58                   	
H10 	No Cq  	80.5                 	
H11 	No Cq  	58.5                 	
H12 	No Cq  	55                   	
