Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.64  	82.5                 	
A2  	24.24  	80                   	
A3  	20.45  	80                   	
A4  	19.31  	77.5                 	
A5  	18.45  	81.5                 	
A6  	19.38  	81                   	
A7  	22.35  	77.5                 	
A8  	19.76  	78.5                 	
A9  	26.35  	82.5                 	
A10 	24     	81                   	
A11 	24.07  	79.5                 	
A12 	20.71  	79                   	
B1  	19.58  	82.5                 	
B2  	24.67  	80                   	
B3  	19.92  	80                   	
B4  	19.39  	77.5                 	
B5  	18.92  	81.5                 	
B6  	19.75  	81                   	
B7  	22.66  	77.5                 	
B8  	20.52  	78.5                 	
B9  	25.28  	82.5                 	
B10 	23.77  	81                   	
B11 	25.02  	79.5                 	
B12 	20.92  	79                   	
C1  	20.54  	82.5                 	
C2  	25.25  	80                   	
C3  	22.44  	80                   	
C4  	20.77  	77.5                 	
C5  	19.81  	81.5                 	
C6  	20.65  	81                   	
C7  	23.69  	77.5                 	
C8  	21.5   	78.5                 	
C9  	29.82  	82.5                 	
C10 	25.5   	80.5                 	
C11 	25.94  	80                   	
C12 	21.68  	79                   	
D1  	19.07  	82.5                 	
D2  	25.67  	80                   	
D3  	24.9   	80                   	
D4  	19.6   	77.5                 	
D5  	18.76  	81.5                 	
D6  	19.81  	81.5                 	
D7  	22.63  	77.5                 	
D8  	20.3   	78.5                 	
D9  	27.99  	82.5                 	
D10 	25.83  	81                   	
D11 	24.8   	79.5                 	
D12 	21.12  	79                   	
E1  	19.82  	82.5                 	
E2  	25.62  	80                   	
E3  	24.64  	80                   	
E4  	20.55  	77.5                 	
E5  	19.5   	81.5                 	
E6  	20.71  	81                   	
E7  	23.39  	78                   	
E8  	20.78  	78.5                 	
E9  	29.68  	82.5                 	
E10 	26.19  	81                   	
E11 	25.8   	79.5                 	
E12 	21.59  	79                   	
F1  	19.06  	82.5                 	
F2  	26.68  	80                   	
F3  	25.4   	80                   	
F4  	20.51  	77.5                 	
F5  	18.67  	81.5                 	
F6  	20.64  	81.5                 	
F7  	22.82  	78                   	
F8  	20.63  	78.5                 	
F9  	29.37  	82.5                 	
F10 	26.18  	81                   	
F11 	25.07  	80                   	
F12 	21.8   	79                   	
G1  	19.11  	82.5                 	
G2  	26.75  	80                   	
G3  	25.9   	80                   	
G4  	20.58  	77.5                 	
G5  	18.8   	81.5                 	
G6  	20.49  	81                   	
G7  	22.82  	78                   	
G8  	20.5   	78.5                 	
G9  	28.93  	82.5                 	
G10 	26.77  	81                   	
G11 	25.27  	80                   	
G12 	21.69  	79                   	
H1  	No Cq  	57.5                 	
H2  	No Cq  	55                   	
H3  	No Cq  	80                   	
H4  	No Cq  	77.5                 	
H5  	No Cq  	55                   	
H6  	No Cq  	55                   	
H7  	No Cq  	77.5                 	
H8  	No Cq  	78                   	
H9  	No Cq  	57.5                 	
H10 	No Cq  	80                   	
H11 	No Cq  	57.5                 	
H12 	No Cq  	57.5                 	
