Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.76  	82.5                 	
A2  	26.5   	80                   	
A3  	19.92  	80                   	
A4  	18.62  	77.5                 	
A5  	18.5   	81.5                 	
A6  	18.78  	81                   	
A7  	22.58  	77.5                 	
A8  	19.97  	78.5                 	
A9  	24.55  	82.5                 	
A10 	22.72  	81                   	
A11 	24.67  	79.5                 	
A12 	19.92  	79                   	
B1  	18.93  	82.5                 	
B2  	28.12  	80                   	
B3  	24.89  	80                   	
B4  	19.73  	77.5                 	
B5  	18.61  	81.5                 	
B6  	20.47  	81                   	
B7  	22.64  	77.5                 	
B8  	19.94  	78.5                 	
B9  	28.85  	82.5                 	
B10 	25.6   	81                   	
B11 	24.85  	79.5                 	
B12 	20.71  	79                   	
C1  	18.95  	82.5                 	
C2  	28.78  	80                   	
C3  	23.46  	80                   	
C4  	19.85  	77.5                 	
C5  	18.65  	81.5                 	
C6  	20.62  	81                   	
C7  	22.87  	78                   	
C8  	20.32  	78.5                 	
C9  	28.29  	82.5                 	
C10 	25.71  	81                   	
C11 	25.02  	80                   	
C12 	20.99  	79                   	
D1  	20.1   	82.5                 	
D2  	29.68  	80                   	
D3  	24.39  	80                   	
D4  	20.48  	77.5                 	
D5  	19.79  	81.5                 	
D6  	21.5   	81                   	
D7  	23.71  	78                   	
D8  	21.17  	78.5                 	
D9  	26.81  	82.5                 	
D10 	26.48  	81                   	
D11 	25.94  	79.5                 	
D12 	21.83  	79                   	
E1  	20     	82.5                 	
E2  	27.57  	80                   	
E3  	19.55  	80                   	
E4  	19.63  	77.5                 	
E5  	19.65  	81.5                 	
E6  	19.97  	81.5                 	
E7  	23.72  	78                   	
E8  	21.65  	78.5                 	
E9  	21.91  	82.5                 	
E10 	23.57  	81                   	
E11 	25.68  	79.5                 	
E12 	21.27  	79                   	
F1  	19.12  	82.5                 	
F2  	27.22  	80                   	
F3  	24.69  	80                   	
F4  	19.59  	77.5                 	
F5  	18.65  	81.5                 	
F6  	20.01  	81.5                 	
F7  	22.74  	78                   	
F8  	20.29  	78.5                 	
F9  	28.59  	82.5                 	
F10 	25.99  	81                   	
F11 	24.96  	80                   	
F12 	20.88  	79                   	
G1  	19.29  	82.5                 	
G2  	29.02  	80                   	
G3  	27.97  	80                   	
G4  	20.6   	77.5                 	
G5  	18.83  	81.5                 	
G6  	20.67  	81.5                 	
G7  	22.91  	78                   	
G8  	20.38  	78.5                 	
G9  	32.47  	82.5                 	
G10 	27.11  	81                   	
G11 	25.31  	80                   	
G12 	21.21  	79                   	
H1  	No Cq  	57.5                 	
H2  	No Cq  	80                   	
H3  	No Cq  	79                   	
H4  	36.97  	77                   	
H5  	No Cq  	57                   	
H6  	No Cq  	57                   	
H7  	No Cq  	78                   	
H8  	No Cq  	78.5                 	
H9  	No Cq  	57                   	
H10 	No Cq  	82.5                 	
H11 	No Cq  	58                   	
H12 	No Cq  	57.5                 	
