Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	19.71  	82                   	
A2  	27.59  	79.5                 	
A3  	26.1   	80                   	
A4  	21.44  	77                   	
A5  	19.59  	81.5                 	
A6  	21.48  	81                   	
A7  	23.54  	77.5                 	
A8  	21.26  	78.5                 	
A9  	28.14  	82                   	
A10 	27.26  	80.5                 	
A11 	25.72  	79.5                 	
A12 	21.86  	79                   	
B1  	18.84  	82                   	
B2  	26.56  	79.5                 	
B3  	25.77  	80                   	
B4  	20.46  	77                   	
B5  	18.61  	81.5                 	
B6  	20.71  	81                   	
B7  	22.69  	77.5                 	
B8  	20.45  	78                   	
B9  	31.43  	82                   	
B10 	25.78  	80.5                 	
B11 	24.76  	79.5                 	
B12 	21.57  	79                   	
C1  	18.82  	82                   	
C2  	26.87  	80                   	
C3  	25.5   	80                   	
C4  	20.48  	77                   	
C5  	18.67  	81.5                 	
C6  	20.57  	81.5                 	
C7  	22.69  	77.5                 	
C8  	20.49  	78.5                 	
C9  	28.66  	82.5                 	
C10 	25.58  	81                   	
C11 	24.89  	79.5                 	
C12 	21.57  	79                   	
D1  	19.04  	82                   	
D2  	26.52  	80                   	
D3  	24.8   	80                   	
D4  	20.35  	77.5                 	
D5  	18.89  	81.5                 	
D6  	20.57  	81                   	
D7  	22.76  	77.5                 	
D8  	20.55  	78.5                 	
D9  	29.78  	82.5                 	
D10 	25.84  	81                   	
D11 	25.09  	79.5                 	
D12 	21.71  	78.5                 	
E1  	19.74  	82                   	
E2  	25.92  	80                   	
E3  	23.94  	80                   	
E4  	20.54  	77.5                 	
E5  	19.41  	81.5                 	
E6  	20.62  	81                   	
E7  	23.55  	77.5                 	
E8  	20.8   	78.5                 	
E9  	30.32  	82.5                 	
E10 	26.25  	81                   	
E11 	25.14  	79.5                 	
E12 	21.71  	79                   	
F1  	19.04  	82                   	
F2  	23.88  	80                   	
F3  	19.75  	80                   	
F4  	18.76  	77.5                 	
F5  	18.75  	81.5                 	
F6  	18.95  	81                   	
F7  	22.51  	77.5                 	
F8  	20.06  	78.5                 	
F9  	22.77  	82.5                 	
F10 	22.84  	81                   	
F11 	24.8   	79.5                 	
F12 	20.72  	79                   	
G1  	18.89  	82                   	
G2  	24.06  	80                   	
G3  	17.05  	80                   	
G4  	18.68  	77.5                 	
G5  	18.56  	81.5                 	
G6  	19.16  	81                   	
G7  	22.5   	78                   	
G8  	20.56  	78.5                 	
G9  	18.86  	82.5                 	
G10 	21.81  	81                   	
G11 	24.77  	79.5                 	
G12 	20.7   	79                   	
H1  	No Cq  	57                   	
H2  	No Cq  	79.5                 	
H3  	No Cq  	79.5                 	
H4  	No Cq  	77.5                 	
H5  	No Cq  	55                   	
H6  	No Cq  	55                   	
H7  	No Cq  	95                   	
H8  	No Cq  	78                   	
H9  	No Cq  	55                   	
H10 	No Cq  	95                   	
H11 	No Cq  	58                   	
H12 	No Cq  	58                   	
