Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	19.45  	82                   	
A2  	24.2   	80                   	
A3  	18.48  	80                   	
A4  	18.71  	77                   	
A5  	18.67  	81.5                 	
A6  	19.5   	81.5                 	
A7  	23.05  	77.5                 	
A8  	20.63  	78                   	
A9  	19.73  	82.5                 	
A10 	22.32  	80.5                 	
A11 	24.62  	79.5                 	
A12 	20.6   	79                   	
B1  	18.86  	82                   	
B2  	23.65  	80                   	
B3  	19.54  	80                   	
B4  	18.62  	77.5                 	
B5  	18.67  	81.5                 	
B6  	18.82  	81                   	
B7  	22.53  	77.5                 	
B8  	20.4   	78                   	
B9  	21.86  	82.5                 	
B10 	22.41  	81                   	
B11 	24.63  	79.5                 	
B12 	20.36  	78.5                 	
C1  	19.01  	82                   	
C2  	24.02  	80                   	
C3  	17.96  	80                   	
C4  	18.85  	77                   	
C5  	18.83  	81.5                 	
C6  	19.5   	81                   	
C7  	22.67  	77.5                 	
C8  	20.74  	78.5                 	
C9  	19.86  	82.5                 	
C10 	21.99  	81                   	
C11 	24.91  	79.5                 	
C12 	20.75  	79                   	
D1  	18.96  	82                   	
D2  	25.71  	80                   	
D3  	25.31  	80                   	
D4  	19.96  	77                   	
D5  	18.81  	81.5                 	
D6  	19.88  	81                   	
D7  	22.78  	77.5                 	
D8  	20.57  	78.5                 	
D9  	29.16  	82.5                 	
D10 	25.9   	81                   	
D11 	24.73  	79.5                 	
D12 	20.96  	79                   	
E1  	18.86  	82                   	
E2  	24.81  	80                   	
E3  	26.51  	80                   	
E4  	19.82  	77                   	
E5  	18.54  	81.5                 	
E6  	19.78  	81.5                 	
E7  	22.7   	77.5                 	
E8  	19.98  	78.5                 	
E9  	29.76  	82.5                 	
E10 	25.55  	81                   	
E11 	24.76  	79.5                 	
E12 	20.66  	79                   	
F1  	18.84  	82                   	
F2  	25.75  	80                   	
F3  	26.74  	80                   	
F4  	19.93  	77.5                 	
F5  	18.48  	81.5                 	
F6  	19.76  	81                   	
F7  	22.7   	77.5                 	
F8  	20.09  	78.5                 	
F9  	30.36  	82.5                 	
F10 	25.75  	81                   	
F11 	24.93  	79.5                 	
F12 	20.9   	79                   	
G1  	19.12  	82                   	
G2  	25.56  	80                   	
G3  	26.93  	80                   	
G4  	20.5   	77                   	
G5  	18.87  	81.5                 	
G6  	20.2   	81                   	
G7  	22.91  	77.5                 	
G8  	20.24  	78.5                 	
G9  	29.03  	82.5                 	
G10 	25.85  	81                   	
G11 	25     	79.5                 	
G12 	21.25  	79                   	
H1  	No Cq  	57.5                 	
H2  	No Cq  	79.5                 	
H3  	No Cq  	79                   	
H4  	No Cq  	77.5                 	
H5  	No Cq  	57.5                 	
H6  	No Cq  	57.5                 	
H7  	No Cq  	78                   	
H8  	No Cq  	78.5                 	
H9  	No Cq  	57.5                 	
H10 	No Cq  	88                   	
H11 	No Cq  	57.5                 	
H12 	No Cq  	57.5                 	
