Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	19.46  	82.5                 	
A2  	24.25  	80                   	
A3  	18.43  	80                   	
A4  	18.76  	77                   	
A5  	18.92  	81.5                 	
A6  	19.44  	81.5                 	
A7  	22.77  	77.5                 	
A8  	20.54  	78                   	
A9  	19.83  	82.5                 	
A10 	22.31  	81                   	
A11 	24.67  	79.5                 	
A12 	20.68  	79                   	
B1  	18.97  	82.5                 	
B2  	24.24  	80                   	
B3  	19.47  	80                   	
B4  	18.61  	77                   	
B5  	18.65  	81.5                 	
B6  	18.75  	81                   	
B7  	22.69  	77.5                 	
B8  	20.38  	78                   	
B9  	21.8   	82.5                 	
B10 	22.5   	81                   	
B11 	24.62  	79.5                 	
B12 	20.06  	79                   	
C1  	19.17  	82.5                 	
C2  	24.46  	80                   	
C3  	17.95  	80                   	
C4  	18.82  	77                   	
C5  	18.78  	81.5                 	
C6  	19.45  	81                   	
C7  	22.77  	77.5                 	
C8  	20.75  	78.5                 	
C9  	19.87  	82.5                 	
C10 	21.98  	81                   	
C11 	24.85  	80                   	
C12 	20.71  	79                   	
D1  	18.97  	82                   	
D2  	25.8   	80                   	
D3  	25.25  	80                   	
D4  	19.94  	77                   	
D5  	18.73  	81.5                 	
D6  	19.91  	81                   	
D7  	22.74  	77.5                 	
D8  	20.59  	78.5                 	
D9  	29.23  	82.5                 	
D10 	25.76  	81                   	
D11 	25.01  	79.5                 	
D12 	20.98  	78.5                 	
E1  	18.89  	82.5                 	
E2  	24.78  	80                   	
E3  	25.82  	80                   	
E4  	19.76  	77.5                 	
E5  	18.59  	81.5                 	
E6  	19.64  	81.5                 	
E7  	22.68  	77.5                 	
E8  	20.06  	78.5                 	
E9  	29.75  	82.5                 	
E10 	25.57  	81                   	
E11 	24.9   	79.5                 	
E12 	20.73  	79                   	
F1  	18.83  	82.5                 	
F2  	25.84  	80                   	
F3  	26.97  	80                   	
F4  	19.92  	77.5                 	
F5  	18.58  	81.5                 	
F6  	19.72  	81                   	
F7  	22.7   	77.5                 	
F8  	20.12  	78.5                 	
F9  	29.65  	82.5                 	
F10 	25.62  	81                   	
F11 	24.96  	80                   	
F12 	21     	78.5                 	
G1  	19.43  	82                   	
G2  	25.61  	80                   	
G3  	27.16  	80                   	
G4  	20.53  	77                   	
G5  	18.87  	81.5                 	
G6  	20.17  	81                   	
G7  	22.96  	77.5                 	
G8  	20.7   	78.5                 	
G9  	29.87  	82                   	
G10 	26.63  	81                   	
G11 	24.94  	79.5                 	
G12 	21.38  	78.5                 	
H1  	No Cq  	57                   	
H2  	No Cq  	79.5                 	
H3  	No Cq  	55                   	
H4  	No Cq  	77.5                 	
H5  	No Cq  	57.5                 	
H6  	No Cq  	55                   	
H7  	No Cq  	77                   	
H8  	No Cq  	77.5                 	
H9  	No Cq  	55                   	
H10 	No Cq  	80.5                 	
H11 	No Cq  	57.5                 	
H12 	No Cq  	57                   	
