Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	19.31  	82.5                 	
A2  	28.18  	80                   	
A3  	26.02  	80                   	
A4  	20.38  	77.5                 	
A5  	18.69  	81.5                 	
A6  	20.53  	81.5                 	
A7  	23     	77.5                 	
A8  	29.9   	82.5                 	
A9  	20.36  	78.5                 	
A10 	26.39  	81                   	
A11 	24.83  	79.5                 	
A12 	21.45  	79                   	
B1  	19.43  	82.5                 	
B2  	27.74  	80                   	
B3  	27.7   	80                   	
B4  	20.52  	77.5                 	
B5  	19.16  	81.5                 	
B6  	20.63  	81.5                 	
B7  	22.76  	78                   	
B8  	31.19  	82.5                 	
B9  	20.47  	78.5                 	
B10 	26.48  	81                   	
B11 	24.97  	79.5                 	
B12 	21.45  	79                   	
C1  	18.12  	82.5                 	
C2  	25.68  	80                   	
C3  	26.17  	80                   	
C4  	19.77  	77.5                 	
C5  	17.8   	81.5                 	
C6  	19.78  	81                   	
C7  	22.31  	78                   	
C8  	29.34  	82.5                 	
C9  	19.73  	78.5                 	
C10 	25.56  	81                   	
C11 	24.64  	79.5                 	
C12 	20.5   	79                   	
D1  	18.81  	82.5                 	
D2  	26.46  	80                   	
D3  	26.33  	80                   	
D4  	20.34  	77.5                 	
D5  	18.48  	81.5                 	
D6  	20.45  	81.5                 	
D7  	22.65  	78                   	
D8  	28.88  	82.5                 	
D9  	20.53  	78.5                 	
D10 	25.67  	81                   	
D11 	24.99  	80                   	
D12 	20.72  	79                   	
E1  	19.66  	82.5                 	
E2  	28.33  	80                   	
E3  	26.21  	80                   	
E4  	20.58  	77.5                 	
E5  	19.29  	81.5                 	
E6  	21.35  	81.5                 	
E7  	23.31  	78                   	
E8  	33.19  	83                   	
E9  	20.94  	78.5                 	
E10 	26.56  	81                   	
E11 	25.64  	80                   	
E12 	21.7   	79                   	
F1  	18.91  	82.5                 	
F2  	27.52  	80                   	
F3  	26.4   	80                   	
F4  	19.8   	77.5                 	
F5  	18.54  	81.5                 	
F6  	20.61  	81.5                 	
F7  	22.74  	78                   	
F8  	28.42  	82.5                 	
F9  	20.04  	78.5                 	
F10 	25.84  	81                   	
F11 	25.02  	80                   	
F12 	21.59  	79                   	
G1  	18.87  	82.5                 	
G2  	26.8   	80                   	
G3  	24.41  	80                   	
G4  	19.76  	77.5                 	
G5  	18.69  	81.5                 	
G6  	20.59  	81.5                 	
G7  	22.72  	78                   	
G8  	27.79  	82.5                 	
G9  	19.97  	78.5                 	
G10 	25.8   	81                   	
G11 	24.92  	80                   	
G12 	21.17  	79                   	
H1  	No Cq  	57.5                 	
H2  	No Cq  	91                   	
H3  	No Cq  	95                   	
H4  	No Cq  	95                   	
H5  	No Cq  	57.5                 	
H6  	No Cq  	57.5                 	
H7  	No Cq  	55                   	
H8  	No Cq  	57.5                 	
H9  	No Cq  	78                   	
H10 	No Cq  	80.5                 	
H11 	No Cq  	57.5                 	
H12 	No Cq  	57.5                 	
