Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.36  	82                   	
A2  	26.58  	80                   	
A3  	25.17  	80                   	
A4  	19.56  	77                   	
A5  	17.74  	81                   	
A6  	19.68  	81                   	
A7  	22.23  	77.5                 	
A8  	19.61  	78.5                 	
A9  	27.52  	82.5                 	
A10 	24.45  	80.5                 	
A11 	24.1   	79.5                 	
A12 	20.77  	79                   	
B1  	18.89  	82                   	
B2  	26.45  	80                   	
B3  	26.17  	80                   	
B4  	20.83  	77                   	
B5  	18.74  	81.5                 	
B6  	20.94  	81.5                 	
B7  	23.47  	77.5                 	
B8  	20.68  	78                   	
B9  	29.85  	82                   	
B10 	25.83  	80.5                 	
B11 	25.73  	79.5                 	
B12 	21.77  	78.5                 	
C1  	18.53  	82                   	
C2  	26.79  	80                   	
C3  	24.49  	80                   	
C4  	19.87  	77                   	
C5  	17.93  	81.5                 	
C6  	20.14  	81.5                 	
C7  	22.51  	77.5                 	
C8  	19.78  	78.5                 	
C9  	28.2   	82.5                 	
C10 	24.8   	81                   	
C11 	24.8   	79.5                 	
C12 	21.05  	78.5                 	
D1  	18.8   	82                   	
D2  	25.68  	80                   	
D3  	24.98  	80                   	
D4  	19.78  	77                   	
D5  	18.57  	81.5                 	
D6  	19.71  	81.5                 	
D7  	22.54  	77.5                 	
D8  	19.93  	78                   	
D9  	27.03  	82.5                 	
D10 	24.95  	81                   	
D11 	24.88  	79.5                 	
D12 	20.9   	78.5                 	
E1  	18.07  	82                   	
E2  	24.75  	80                   	
E3  	24.69  	80                   	
E4  	19.52  	77.5                 	
E5  	17.86  	81.5                 	
E6  	19.14  	81                   	
E7  	21.95  	77.5                 	
E8  	19.7   	78.5                 	
E9  	28.75  	82.5                 	
E10 	24.78  	81                   	
E11 	24.29  	79.5                 	
E12 	19.9   	79                   	
F1  	18.79  	82                   	
F2  	26.26  	80                   	
F3  	23.79  	80                   	
F4  	19.87  	77.5                 	
F5  	18.08  	81.5                 	
F6  	19.95  	81.5                 	
F7  	22.61  	77.5                 	
F8  	19.81  	78.5                 	
F9  	27.97  	82.5                 	
F10 	24.96  	81                   	
F11 	25.08  	79.5                 	
F12 	20.38  	79                   	
G1  	18.19  	82                   	
G2  	26.79  	80                   	
G3  	26.55  	80                   	
G4  	19.88  	77                   	
G5  	18.04  	81.5                 	
G6  	19.92  	81.5                 	
G7  	22.6   	77.5                 	
G8  	19.82  	78                   	
G9  	28.88  	82.5                 	
G10 	25.86  	81                   	
G11 	24.58  	79.5                 	
G12 	21.07  	79                   	
H1  	No Cq  	57                   	
H2  	No Cq  	79.5                 	
H3  	No Cq  	80.5                 	
H4  	36.74  	77                   	
H5  	No Cq  	55                   	
H6  	No Cq  	57.5                 	
H7  	No Cq  	58                   	
H8  	No Cq  	78.5                 	
H9  	No Cq  	57                   	
H10 	No Cq  	80.5                 	
H11 	No Cq  	58                   	
H12 	No Cq  	58                   	
