Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	17.86  	82.5                 	
A2  	26.11  	80                   	
A3  	25.56  	80                   	
A4  	19.73  	77.5                 	
A5  	17.77  	81.5                 	
A6  	19.71  	81                   	
A7  	22.37  	77.5                 	
A8  	19.64  	78.5                 	
A9  	28.54  	82.5                 	
A10 	25.28  	81                   	
A11 	26.77  	79.5                 	
A12 	20.82  	79                   	
B1  	18.98  	82.5                 	
B2  	26.47  	80                   	
B3  	27.08  	80                   	
B4  	20.7   	77.5                 	
B5  	18.75  	81.5                 	
B6  	20.37  	81.5                 	
B7  	22.66  	77.5                 	
B8  	20.38  	78.5                 	
B9  	29.28  	82.5                 	
B10 	26.48  	81                   	
B11 	28.16  	79.5                 	
B12 	21.46  	79                   	
C1  	18.76  	82.5                 	
C2  	26.09  	80                   	
C3  	25.32  	80                   	
C4  	20.3   	77.5                 	
C5  	18.68  	81.5                 	
C6  	19.75  	81                   	
C7  	22.49  	77.5                 	
C8  	19.95  	78.5                 	
C9  	26.81  	82.5                 	
C10 	25.78  	81                   	
C11 	27.22  	79.5                 	
C12 	20.91  	79                   	
D1  	19.59  	82.5                 	
D2  	25.81  	80                   	
D3  	26.68  	80                   	
D4  	20.62  	77.5                 	
D5  	19.48  	81.5                 	
D6  	20.02  	81                   	
D7  	22.79  	77.5                 	
D8  	20.43  	78.5                 	
D9  	29.53  	82.5                 	
D10 	26.62  	81                   	
D11 	28.07  	79.5                 	
D12 	21.22  	79                   	
E1  	18.19  	82.5                 	
E2  	24.7   	80                   	
E3  	24.77  	80                   	
E4  	19.66  	77.5                 	
E5  	18.37  	81.5                 	
E6  	19.62  	81                   	
E7  	21.81  	78                   	
E8  	19.63  	78.5                 	
E9  	25.83  	82.5                 	
E10 	25.56  	81                   	
E11 	26.72  	80                   	
E12 	20.75  	79                   	
F1  	18.21  	82.5                 	
F2  	24.97  	80                   	
F3  	26.46  	80                   	
F4  	19.78  	77.5                 	
F5  	18.5   	81.5                 	
F6  	19.56  	81                   	
F7  	21.86  	78                   	
F8  	19.75  	78.5                 	
F9  	27.8   	82.5                 	
F10 	26.45  	81                   	
F11 	27.08  	80                   	
F12 	20.82  	79                   	
G1  	18.94  	82.5                 	
G2  	25.79  	80                   	
G3  	24.81  	80                   	
G4  	19.87  	77.5                 	
G5  	18.76  	81.5                 	
G6  	19.95  	81                   	
G7  	22.6   	78                   	
G8  	19.99  	78.5                 	
G9  	28.77  	82.5                 	
G10 	25.63  	81                   	
G11 	27.92  	80                   	
G12 	20.99  	79                   	
H1  	No Cq  	55                   	
H2  	35.02  	80                   	
H3  	No Cq  	80                   	
H4  	No Cq  	78                   	
H5  	No Cq  	55                   	
H6  	No Cq  	55                   	
H7  	No Cq  	55                   	
H8  	No Cq  	55                   	
H9  	No Cq  	55                   	
H10 	No Cq  	80                   	
H11 	No Cq  	57.5                 	
H12 	No Cq  	55                   	
