Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.94  	82                   	
A2  	26.89  	80                   	
A3  	26.76  	79.5                 	
A4  	20.69  	77                   	
A5  	18.84  	81.5                 	
A6  	20.08  	81                   	
A7  	22.76  	77.5                 	
A8  	20.12  	78.5                 	
A9  	30.94  	82                   	
A10 	26.55  	80.5                 	
A11 	24.89  	79.5                 	
A12 	21.25  	78.5                 	
B1  	18.88  	82                   	
B2  	25.88  	80                   	
B3  	26.42  	79.5                 	
B4  	20.34  	77                   	
B5  	18.79  	81.5                 	
B6  	19.95  	81.5                 	
B7  	22.51  	77.5                 	
B8  	19.94  	78                   	
B9  	30.69  	82                   	
B10 	25.89  	80.5                 	
B11 	24.88  	79.5                 	
B12 	20.88  	78.5                 	
C1  	18.67  	82                   	
C2  	25.29  	80                   	
C3  	25.37  	80                   	
C4  	19.61  	77                   	
C5  	18.51  	81.5                 	
C6  	19.51  	81                   	
C7  	21.77  	77.5                 	
C8  	19.79  	78.5                 	
C9  	27.73  	82.5                 	
C10 	25.27  	80.5                 	
C11 	24.03  	79.5                 	
C12 	20.81  	78.5                 	
D1  	18.63  	82                   	
D2  	25.89  	80                   	
D3  	24.54  	80                   	
D4  	19.6   	77                   	
D5  	18.62  	81.5                 	
D6  	19.36  	81                   	
D7  	21.85  	77.5                 	
D8  	19.71  	78                   	
D9  	29.29  	82.5                 	
D10 	25.53  	81                   	
D11 	24.53  	79.5                 	
D12 	20.68  	78.5                 	
E1  	18.42  	82                   	
E2  	23.87  	80                   	
E3  	24.17  	80                   	
E4  	19.43  	77                   	
E5  	18.58  	81.5                 	
E6  	18.83  	81                   	
E7  	21.55  	78                   	
E8  	19.5   	78.5                 	
E9  	27.6   	82.5                 	
E10 	24.67  	81                   	
E11 	24.69  	79.5                 	
E12 	19.9   	79                   	
F1  	18.73  	82                   	
F2  	24.65  	80                   	
F3  	23.84  	80                   	
F4  	19.49  	77.5                 	
F5  	18.65  	81.5                 	
F6  	18.82  	81                   	
F7  	21.71  	77.5                 	
F8  	19.74  	78.5                 	
F9  	28.57  	82.5                 	
F10 	24.69  	81                   	
F11 	24.71  	79.5                 	
F12 	20.6   	78.5                 	
G1  	18.92  	82                   	
G2  	26.56  	79.5                 	
G3  	26.8   	80                   	
G4  	20.75  	77                   	
G5  	18.83  	81.5                 	
G6  	20.04  	81                   	
G7  	22.56  	77.5                 	
G8  	20.02  	78                   	
G9  	29.85  	82                   	
G10 	25.66  	80.5                 	
G11 	25.05  	79.5                 	
G12 	21.76  	78.5                 	
H1  	No Cq  	55                   	
H2  	No Cq  	80                   	
H3  	No Cq  	62                   	
H4  	No Cq  	77                   	
H5  	No Cq  	57.5                 	
H6  	No Cq  	55                   	
H7  	No Cq  	55                   	
H8  	38.81  	79                   	
H9  	34.93  	78.5                 	
H10 	No Cq  	80                   	
H11 	No Cq  	57.5                 	
H12 	No Cq  	55                   	
