Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.63  	82.5                 	
A2  	25.34  	80                   	
A3  	26.08  	80                   	
A4  	20.45  	77.5                 	
A5  	18.48  	81.5                 	
A6  	20.42  	81.5                 	
A7  	22.48  	77.5                 	
A8  	20.43  	78                   	
A9  	35.17  	57.5                 	
A10 	26.13  	80.5                 	
A11 	24.79  	79.5                 	
A12 	21.36  	78.5                 	
B1  	17.82  	82.5                 	
B2  	24.58  	80                   	
B3  	27.57  	80                   	
B4  	20.3   	77.5                 	
B5  	17.69  	81.5                 	
B6  	19.44  	81.5                 	
B7  	21.4   	77.5                 	
B8  	19.36  	78.5                 	
B9  	29.58  	82.5                 	
B10 	25.5   	81                   	
B11 	23.93  	79.5                 	
B12 	20.48  	79                   	
C1  	20.93  	82.5                 	
C2  	28.14  	80                   	
C3  	26.57  	80                   	
C4  	21.74  	77.5                 	
C5  	20.64  	81.5                 	
C6  	21.7   	81                   	
C7  	24.68  	77.5                 	
C8  	22     	78.5                 	
C9  	31.54  	82.5                 	
C10 	27.22  	81                   	
C11 	26.83  	80                   	
C12 	22.73  	79                   	
D1  	18.73  	82.5                 	
D2  	24.79  	80                   	
D3  	25.71  	80                   	
D4  	19.75  	77                   	
D5  	18.66  	81.5                 	
D6  	19.5   	81.5                 	
D7  	22.49  	77.5                 	
D8  	19.84  	78.5                 	
D9  	28.77  	82.5                 	
D10 	25.76  	81                   	
D11 	24.86  	79.5                 	
D12 	20.86  	79                   	
E1  	19.64  	82.5                 	
E2  	26.11  	80                   	
E3  	24.53  	80                   	
E4  	19.85  	77.5                 	
E5  	19.57  	81.5                 	
E6  	20.8   	81                   	
E7  	22.68  	77.5                 	
E8  	20.44  	78.5                 	
E9  	27.78  	82.5                 	
E10 	26.2   	81                   	
E11 	25.02  	79.5                 	
E12 	21.71  	79                   	
F1  	20.94  	82                   	
F2  	28.47  	80                   	
F3  	28.72  	80                   	
F4  	22.27  	77                   	
F5  	21.21  	81.5                 	
F6  	21.81  	81                   	
F7  	24.29  	78                   	
F8  	21.71  	78.5                 	
F9  	31.53  	82.5                 	
F10 	27.46  	81                   	
F11 	26.68  	80                   	
F12 	22.93  	79                   	
G1  	20.91  	82                   	
G2  	28.11  	80                   	
G3  	26.69  	80                   	
G4  	21.39  	77                   	
G5  	20.7   	81.5                 	
G6  	21.91  	81.5                 	
G7  	23.93  	77.5                 	
G8  	21.62  	78                   	
G9  	29.63  	82.5                 	
G10 	27.4   	81                   	
G11 	26.72  	79.5                 	
G12 	22.91  	79                   	
H1  	No Cq  	55                   	
H2  	No Cq  	80.5                 	
H3  	No Cq  	95                   	
H4  	No Cq  	77.5                 	
H5  	No Cq  	57.5                 	
H6  	No Cq  	57                   	
H7  	No Cq  	95                   	
H8  	No Cq  	79                   	
H9  	No Cq  	95                   	
H10 	No Cq  	81                   	
H11 	No Cq  	58                   	
H12 	No Cq  	57.5                 	
