Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.97  	82                   	
A2  	27.37  	80                   	
A3  	25.83  	79.5                 	
A4  	20.64  	77                   	
A5  	18.91  	81.5                 	
A6  	20.8   	81                   	
A7  	22.77  	77.5                 	
A8  	20.73  	78.5                 	
A9  	29.72  	82.5                 	
A10 	25.55  	80.5                 	
A11 	25.08  	79.5                 	
A12 	21.78  	78.5                 	
B1  	19.07  	82                   	
B2  	26.09  	80                   	
B3  	25.39  	79.5                 	
B4  	20.75  	77                   	
B5  	18.93  	81.5                 	
B6  	20.72  	81.5                 	
B7  	22.99  	77.5                 	
B8  	20.62  	78.5                 	
B9  	27.78  	82.5                 	
B10 	25.79  	80.5                 	
B11 	25.14  	79.5                 	
B12 	21.73  	78.5                 	
C1  	18.88  	82                   	
C2  	24.73  	80                   	
C3  	17.99  	80                   	
C4  	18.77  	77.5                 	
C5  	18.69  	81.5                 	
C6  	19.46  	81                   	
C7  	22.46  	77.5                 	
C8  	20.14  	78.5                 	
C9  	20.84  	82.5                 	
C10 	22.73  	81                   	
C11 	24.84  	79.5                 	
C12 	20.73  	78.5                 	
D1  	19.74  	82                   	
D2  	25.66  	80                   	
D3  	19.14  	80                   	
D4  	19.73  	77                   	
D5  	19.6   	81.5                 	
D6  	20.53  	81.5                 	
D7  	23.3   	77.5                 	
D8  	20.73  	78.5                 	
D9  	22.02  	82.5                 	
D10 	23.64  	81                   	
D11 	25.77  	79.5                 	
D12 	21.61  	78.5                 	
E1  	18.9   	82                   	
E2  	25.62  	80                   	
E3  	22.69  	80                   	
E4  	19.73  	77                   	
E5  	18.72  	81.5                 	
E6  	19.98  	81.5                 	
E7  	22.52  	78                   	
E8  	20.34  	78.5                 	
E9  	27.32  	82.5                 	
E10 	25.26  	81                   	
E11 	25.07  	79.5                 	
E12 	21.1   	78.5                 	
F1  	18.66  	82                   	
F2  	25.51  	80                   	
F3  	23.83  	80                   	
F4  	19.59  	77                   	
F5  	18.54  	81.5                 	
F6  	19.76  	81                   	
F7  	21.82  	77.5                 	
F8  	19.89  	78.5                 	
F9  	28.74  	82.5                 	
F10 	24.88  	80.5                 	
F11 	24.27  	79.5                 	
F12 	20.8   	79                   	
G1  	18.93  	82                   	
G2  	26.84  	79.5                 	
G3  	26.46  	79.5                 	
G4  	20.56  	77                   	
G5  	18.8   	81                   	
G6  	20.8   	81.5                 	
G7  	22.78  	77.5                 	
G8  	20.22  	78.5                 	
G9  	29.83  	82                   	
G10 	26.79  	80.5                 	
G11 	24.85  	79.5                 	
G12 	21.77  	78.5                 	
H1  	No Cq  	57.5                 	
H2  	No Cq  	79.5                 	
H3  	No Cq  	60.5                 	
H4  	38.92  	61.5                 	
H5  	No Cq  	55                   	
H6  	No Cq  	57.5                 	
H7  	No Cq  	55                   	
H8  	38.89  	78.5                 	
H9  	39.05  	58                   	
H10 	38.47  	70.5                 	
H11 	No Cq  	57.5                 	
H12 	No Cq  	55                   	
