Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	19.09  	82                   	
A2  	24.31  	80                   	
A3  	20.17  	80                   	
A4  	18.81  	77.5                 	
A5  	18.85  	81.5                 	
A6  	18.98  	81.5                 	
A7  	22.82  	77.5                 	
A8  	20.78  	78.5                 	
A9  	23     	82.5                 	
A10 	23.54  	81                   	
A11 	24.97  	79.5                 	
A12 	20.96  	78.5                 	
B1  	19.13  	82                   	
B2  	24.54  	80                   	
B3  	17.99  	80                   	
B4  	18.76  	77.5                 	
B5  	18.88  	81.5                 	
B6  	19.65  	81                   	
B7  	22.72  	77.5                 	
B8  	20.62  	78.5                 	
B9  	19.79  	82.5                 	
B10 	22.45  	81                   	
B11 	24.92  	79.5                 	
B12 	20.95  	78.5                 	
C1  	19.74  	82                   	
C2  	24.74  	80                   	
C3  	24.44  	80                   	
C4  	19.61  	77.5                 	
C5  	18.99  	81.5                 	
C6  	19.67  	81                   	
C7  	22.85  	77.5                 	
C8  	20.65  	78.5                 	
C9  	28.18  	82.5                 	
C10 	25.88  	81                   	
C11 	24.92  	79.5                 	
C12 	21.07  	78.5                 	
D1  	18.8   	82                   	
D2  	25.55  	80                   	
D3  	19.75  	80                   	
D4  	18.77  	77.5                 	
D5  	18.54  	81.5                 	
D6  	19.55  	81.5                 	
D7  	22.47  	78                   	
D8  	20.48  	78.5                 	
D9  	25.34  	82.5                 	
D10 	23.88  	81                   	
D11 	24.46  	79.5                 	
D12 	20.84  	79                   	
E1  	18.74  	82                   	
E2  	24.84  	80                   	
E3  	21.49  	80                   	
E4  	18.79  	77.5                 	
E5  	18.47  	81.5                 	
E6  	18.89  	81.5                 	
E7  	22.31  	78                   	
E8  	19.89  	78.5                 	
E9  	27.64  	82.5                 	
E10 	23.91  	81                   	
E11 	24.64  	79.5                 	
E12 	20.56  	78.5                 	
F1  	19.06  	82                   	
F2  	25.3   	80                   	
F3  	20.01  	80                   	
F4  	19.68  	77.5                 	
F5  	18.74  	81.5                 	
F6  	19.74  	81                   	
F7  	22.67  	78                   	
F8  	20.59  	78.5                 	
F9  	26.64  	82.5                 	
F10 	24.52  	81                   	
F11 	24.84  	79.5                 	
F12 	20.95  	78.5                 	
G1  	18.85  	82                   	
G2  	25.62  	80                   	
G3  	26.64  	80                   	
G4  	20.47  	77                   	
G5  	18.61  	81.5                 	
G6  	19.95  	81.5                 	
G7  	22.65  	77.5                 	
G8  	20.63  	78.5                 	
G9  	30.48  	82.5                 	
G10 	25.65  	80.5                 	
G11 	24.83  	79.5                 	
G12 	21.19  	78.5                 	
H1  	No Cq  	57.5                 	
H2  	No Cq  	63.5                 	
H3  	No Cq  	66                   	
H4  	No Cq  	76                   	
H5  	No Cq  	57.5                 	
H6  	No Cq  	57.5                 	
H7  	No Cq  	77.5                 	
H8  	39.23  	78                   	
H9  	39.74  	58                   	
H10 	No Cq  	80.5                 	
H11 	No Cq  	58                   	
H12 	No Cq  	57                   	
