Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.8   	82.5                 	
A2  	26.18  	80                   	
A3  	24.88  	80                   	
A4  	19.75  	77.5                 	
A5  	18.52  	81.5                 	
A6  	19.8   	81                   	
A7  	22.56  	77.5                 	
A8  	20.29  	78                   	
A9  	28.77  	82.5                 	
A10 	24.71  	81                   	
A11 	24.89  	79.5                 	
A12 	20.73  	79                   	
B1  	18.92  	82.5                 	
B2  	24.35  	80                   	
B3  	16.82  	80                   	
B4  	18.39  	77.5                 	
B5  	18.64  	81.5                 	
B6  	18.53  	81.5                 	
B7  	21.82  	77.5                 	
B8  	20.35  	78.5                 	
B9  	19     	82.5                 	
B10 	21.82  	81                   	
B11 	24.59  	79.5                 	
B12 	19.89  	79                   	
C1  	18.93  	82.5                 	
C2  	24.23  	80                   	
C3  	16.92  	80                   	
C4  	18.07  	77.5                 	
C5  	18.72  	81.5                 	
C6  	18.79  	81.5                 	
C7  	22.38  	77.5                 	
C8  	20.67  	78.5                 	
C9  	19.74  	82.5                 	
C10 	22     	80.5                 	
C11 	24.72  	80                   	
C12 	19.93  	79                   	
D1  	19.09  	82.5                 	
D2  	23.68  	80                   	
D3  	18.62  	80                   	
D4  	18.94  	77.5                 	
D5  	18.89  	81.5                 	
D6  	19.09  	81.5                 	
D7  	22.91  	77.5                 	
D8  	20.82  	78.5                 	
D9  	21.17  	82.5                 	
D10 	23.13  	81                   	
D11 	24.91  	79.5                 	
D12 	20.71  	79                   	
E1  	20.08  	82.5                 	
E2  	24.75  	80                   	
E3  	18.73  	80                   	
E4  	19.76  	77.5                 	
E5  	19.78  	81.5                 	
E6  	20.18  	81.5                 	
E7  	23.62  	77.5                 	
E8  	21.45  	78.5                 	
E9  	21.74  	82.5                 	
E10 	23.8   	81                   	
E11 	25.93  	79.5                 	
E12 	21.2   	79                   	
F1  	19.31  	82.5                 	
F2  	27.41  	80                   	
F3  	27.42  	80                   	
F4  	20.82  	77.5                 	
F5  	18.96  	81.5                 	
F6  	20.98  	81                   	
F7  	23.1   	78                   	
F8  	20.64  	78.5                 	
F9  	30.27  	82.5                 	
F10 	26.85  	81                   	
F11 	25.38  	80                   	
F12 	21.72  	79                   	
G1  	20.95  	82                   	
G2  	28.71  	80                   	
G3  	28.58  	80                   	
G4  	22.62  	77.5                 	
G5  	20.74  	81.5                 	
G6  	22.89  	81.5                 	
G7  	24.95  	77.5                 	
G8  	22.21  	78.5                 	
G9  	31.81  	82.5                 	
G10 	28.24  	80.5                 	
G11 	27.41  	79.5                 	
G12 	23.58  	78.5                 	
H1  	No Cq  	57                   	
H2  	No Cq  	80                   	
H3  	No Cq  	95                   	
H4  	No Cq  	77.5                 	
H5  	No Cq  	57                   	
H6  	No Cq  	55                   	
H7  	No Cq  	78                   	
H8  	No Cq  	78                   	
H9  	No Cq  	58                   	
H10 	No Cq  	80.5                 	
H11 	No Cq  	58                   	
H12 	No Cq  	57.5                 	
