Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	19.4   	82                   	
A2  	23.94  	80                   	
A3  	20.52  	80                   	
A4  	18.85  	77                   	
A5  	18.78  	81.5                 	
A6  	18.88  	81.5                 	
A7  	22.69  	77.5                 	
A8  	20.86  	78                   	
A9  	23     	82.5                 	
A10 	23.32  	80.5                 	
A11 	24.89  	79.5                 	
A12 	20.68  	78.5                 	
B1  	19.11  	82                   	
B2  	24.35  	80                   	
B3  	17.91  	80                   	
B4  	18.7   	77                   	
B5  	18.77  	81.5                 	
B6  	19.63  	81                   	
B7  	22.56  	77.5                 	
B8  	20.64  	78                   	
B9  	19.72  	82.5                 	
B10 	21.95  	80.5                 	
B11 	24.69  	79.5                 	
B12 	20.76  	78.5                 	
C1  	19.61  	82                   	
C2  	24.9   	79.5                 	
C3  	24.28  	80                   	
C4  	19.51  	77                   	
C5  	18.94  	81.5                 	
C6  	19.74  	81                   	
C7  	22.71  	77.5                 	
C8  	20.58  	78.5                 	
C9  	29.05  	82.5                 	
C10 	25.73  	80.5                 	
C11 	24.73  	79.5                 	
C12 	20.92  	78.5                 	
D1  	18.79  	82                   	
D2  	25.53  	80                   	
D3  	19.79  	80                   	
D4  	18.85  	77                   	
D5  	18.54  	81.5                 	
D6  	19.56  	81                   	
D7  	22.34  	77.5                 	
D8  	20.42  	78.5                 	
D9  	25.3   	82.5                 	
D10 	23.81  	80.5                 	
D11 	24.27  	79.5                 	
D12 	20.66  	78.5                 	
E1  	18.79  	82                   	
E2  	24.74  	80                   	
E3  	21.5   	80                   	
E4  	18.76  	77.5                 	
E5  	18.45  	81.5                 	
E6  	18.78  	81                   	
E7  	22.34  	77.5                 	
E8  	19.8   	78.5                 	
E9  	27.66  	82.5                 	
E10 	23.65  	81                   	
E11 	23.98  	79.5                 	
E12 	20.5   	78.5                 	
F1  	18.97  	82                   	
F2  	25.3   	80                   	
F3  	20.5   	80                   	
F4  	19.47  	77                   	
F5  	18.69  	81.5                 	
F6  	19.56  	81                   	
F7  	22.52  	77.5                 	
F8  	20.22  	78.5                 	
F9  	26.37  	82.5                 	
F10 	24.38  	81                   	
F11 	24.54  	79.5                 	
F12 	20.78  	78.5                 	
G1  	18.85  	82                   	
G2  	25.31  	79.5                 	
G3  	26.49  	79.5                 	
G4  	19.9   	77                   	
G5  	18.61  	81.5                 	
G6  	19.92  	81                   	
G7  	22.54  	77.5                 	
G8  	20.52  	78                   	
G9  	29.64  	82                   	
G10 	24.97  	80.5                 	
G11 	24.76  	79.5                 	
G12 	20.88  	78.5                 	
H1  	No Cq  	57                   	
H2  	No Cq  	79.5                 	
H3  	No Cq  	55                   	
H4  	No Cq  	77.5                 	
H5  	No Cq  	55                   	
H6  	No Cq  	55                   	
H7  	No Cq  	77.5                 	
H8  	No Cq  	78                   	
H9  	No Cq  	57.5                 	
H10 	No Cq  	80                   	
H11 	No Cq  	59                   	
H12 	No Cq  	57                   	
