Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.85  	82                   	
A2  	24.57  	80                   	
A3  	16.95  	80                   	
A4  	18.58  	77                   	
A5  	18.7   	81.5                 	
A6  	18.78  	81.5                 	
A7  	22.5   	77.5                 	
A8  	20.65  	78                   	
A9  	19.23  	82.5                 	
A10 	21.73  	81                   	
A11 	24.73  	79.5                 	
A12 	20.29  	78.5                 	
B1  	22.51  	82                   	
B2  	27.81  	80                   	
B3  	20.38  	80                   	
B4  	21.51  	77                   	
B5  	22.46  	81.5                 	
B6  	22.64  	81                   	
B7  	25.35  	77.5                 	
B8  	23.54  	78.5                 	
B9  	21.84  	82.5                 	
B10 	25.06  	81                   	
B11 	28.64  	79.5                 	
B12 	23.1   	78.5                 	
C1  	18.83  	82                   	
C2  	27.46  	79.5                 	
C3  	27.19  	80                   	
C4  	20.7   	77.5                 	
C5  	18.82  	81.5                 	
C6  	20.53  	81                   	
C7  	22.4   	77.5                 	
C8  	19.89  	78.5                 	
C9  	31.92  	82                   	
C10 	25.88  	80.5                 	
C11 	24.6   	79.5                 	
C12 	21.76  	78.5                 	
D1  	18.18  	82                   	
D2  	26.73  	80                   	
D3  	25.69  	80                   	
D4  	19.88  	77.5                 	
D5  	18.58  	81.5                 	
D6  	19.85  	81                   	
D7  	22.36  	77.5                 	
D8  	19.86  	78.5                 	
D9  	36.33  	81.5                 	
D10 	25.46  	81                   	
D11 	24.21  	79.5                 	
D12 	21.16  	78.5                 	
E1  	18.81  	82                   	
E2  	27.04  	80                   	
E3  	28.33  	80                   	
E4  	20.36  	77.5                 	
E5  	18.69  	81.5                 	
E6  	19.78  	81.5                 	
E7  	22.24  	78                   	
E8  	19.76  	78.5                 	
E9  	29.79  	82.5                 	
E10 	25.74  	81                   	
E11 	24.75  	79.5                 	
E12 	21.17  	78.5                 	
F1  	19.76  	82                   	
F2  	28.52  	80                   	
F3  	26.55  	80                   	
F4  	20.77  	77.5                 	
F5  	19.7   	81.5                 	
F6  	20.91  	81.5                 	
F7  	22.81  	78                   	
F8  	20.67  	78.5                 	
F9  	30.66  	82.5                 	
F10 	26.49  	81                   	
F11 	25.09  	79.5                 	
F12 	21.84  	78.5                 	
G1  	18.13  	82                   	
G2  	25.8   	79.5                 	
G3  	26.73  	79.5                 	
G4  	20.49  	77                   	
G5  	18.62  	81.5                 	
G6  	19.86  	81.5                 	
G7  	21.97  	77.5                 	
G8  	19.92  	78                   	
G9  	29.83  	82.5                 	
G10 	24.91  	80.5                 	
G11 	24.53  	79.5                 	
G12 	21.02  	78.5                 	
H1  	No Cq  	57.5                 	
H2  	33.12  	77.5                 	
H3  	No Cq  	95                   	
H4  	36.13  	76.5                 	
H5  	No Cq  	55                   	
H6  	No Cq  	57.5                 	
H7  	No Cq  	78                   	
H8  	38.51  	84                   	
H9  	37.91  	58.5                 	
H10 	No Cq  	81                   	
H11 	No Cq  	57.5                 	
H12 	No Cq  	57.5                 	
