Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.62  	82.5                 	
A2  	26.6   	80                   	
A3  	26.22  	80                   	
A4  	20.55  	77.5                 	
A5  	18.59  	81.5                 	
A6  	20.53  	81.5                 	
A7  	22.54  	77.5                 	
A8  	19.82  	78.5                 	
A9  	29.27  	82.5                 	
A10 	25.63  	81                   	
A11 	25.1   	79.5                 	
A12 	20.9   	79                   	
B1  	19.59  	82.5                 	
B2  	25.48  	80                   	
B3  	23.46  	80                   	
B4  	19.69  	77.5                 	
B5  	19.49  	81.5                 	
B6  	19.61  	81.5                 	
B7  	22.72  	78                   	
B8  	20.5   	78.5                 	
B9  	26.93  	82.5                 	
B10 	24.83  	81                   	
B11 	25.6   	79.5                 	
B12 	20.82  	79                   	
C1  	18.81  	82.5                 	
C2  	25.44  	80                   	
C3  	19.6   	80                   	
C4  	19.45  	77.5                 	
C5  	18.81  	81.5                 	
C6  	19.56  	81.5                 	
C7  	21.93  	78                   	
C8  	19.88  	78.5                 	
C9  	26.55  	82.5                 	
C10 	23.53  	81                   	
C11 	24.93  	79.5                 	
C12 	20.83  	79                   	
D1  	18.93  	82.5                 	
D2  	26.4   	80                   	
D3  	25.48  	80                   	
D4  	19.92  	77.5                 	
D5  	18.78  	81.5                 	
D6  	20.16  	81                   	
D7  	22.6   	78                   	
D8  	20.03  	78.5                 	
D9  	28.2   	82.5                 	
D10 	25.69  	81                   	
D11 	25.48  	79.5                 	
D12 	21.17  	79                   	
E1  	18.81  	82.5                 	
E2  	26.43  	80                   	
E3  	23.79  	80                   	
E4  	19.78  	77.5                 	
E5  	18.85  	81.5                 	
E6  	20.48  	81                   	
E7  	22.66  	78                   	
E8  	19.98  	78.5                 	
E9  	28.2   	82.5                 	
E10 	25.53  	81                   	
E11 	24.93  	79.5                 	
E12 	21.19  	79                   	
F1  	18.97  	82.5                 	
F2  	26.54  	80                   	
F3  	23.59  	80                   	
F4  	19.67  	77.5                 	
F5  	18.75  	81.5                 	
F6  	20.01  	81                   	
F7  	22.7   	78                   	
F8  	20.5   	78.5                 	
F9  	28.61  	82.5                 	
F10 	24.91  	81                   	
F11 	24.95  	80                   	
F12 	21.15  	79                   	
G1  	19.94  	82.5                 	
G2  	25.75  	80                   	
G3  	24.87  	80                   	
G4  	20.69  	77.5                 	
G5  	19.7   	81.5                 	
G6  	20.83  	81.5                 	
G7  	22.98  	78                   	
G8  	20.83  	78.5                 	
G9  	30.14  	82.5                 	
G10 	26.62  	81                   	
G11 	25.42  	80                   	
G12 	21.87  	79                   	
H1  	No Cq  	57                   	
H2  	No Cq  	77                   	
H3  	No Cq  	79.5                 	
H4  	No Cq  	77.5                 	
H5  	No Cq  	57.5                 	
H6  	No Cq  	57.5                 	
H7  	No Cq  	55                   	
H8  	No Cq  	77.5                 	
H9  	No Cq  	58.5                 	
H10 	No Cq  	81.5                 	
H11 	No Cq  	57.5                 	
H12 	No Cq  	57.5                 	
