Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	19.6   	82.5                 	
A2  	26.57  	80                   	
A3  	25.25  	80                   	
A4  	20.43  	77.5                 	
A5  	19.34  	81.5                 	
A6  	21.38  	81                   	
A7  	23.33  	77.5                 	
A8  	20.49  	78.5                 	
A9  	30.56  	82.5                 	
A10 	25.22  	81                   	
A11 	25.72  	79.5                 	
A12 	21.51  	79                   	
B1  	19     	82.5                 	
B2  	25.67  	80                   	
B3  	27.71  	80                   	
B4  	19.68  	77.5                 	
B5  	18.77  	81.5                 	
B6  	19.87  	81                   	
B7  	22.7   	77.5                 	
B8  	19.9   	78.5                 	
B9  	31.07  	82.5                 	
B10 	25.62  	81                   	
B11 	24.75  	79.5                 	
B12 	20.75  	79                   	
C1  	19.92  	82.5                 	
C2  	26.71  	80                   	
C3  	26.63  	80                   	
C4  	20.78  	77.5                 	
C5  	19.67  	81.5                 	
C6  	21.04  	81                   	
C7  	23.51  	77.5                 	
C8  	20.91  	78.5                 	
C9  	29.77  	82.5                 	
C10 	26.54  	81                   	
C11 	25.93  	80                   	
C12 	21.71  	79                   	
D1  	19.12  	82.5                 	
D2  	26.34  	80                   	
D3  	26.4   	80                   	
D4  	20.36  	77.5                 	
D5  	18.87  	81.5                 	
D6  	20.74  	81                   	
D7  	22.88  	77.5                 	
D8  	20.7   	78.5                 	
D9  	28.74  	82.5                 	
D10 	26.36  	81                   	
D11 	25.13  	79.5                 	
D12 	21.01  	79                   	
E1  	25.02  	82.5                 	
E2  	30.84  	80                   	
E3  	29.76  	80                   	
E4  	25.75  	77.5                 	
E5  	24.88  	81.5                 	
E6  	25.94  	81.5                 	
E7  	28.83  	78                   	
E8  	25.99  	78.5                 	
E9  	No Cq  	58.5                 	
E10 	No Cq  	81.5                 	
E11 	30.27  	79.5                 	
E12 	25.98  	78.5                 	
F1  	18.89  	82.5                 	
F2  	24.57  	80                   	
F3  	20.61  	80                   	
F4  	18.67  	77.5                 	
F5  	18.64  	81.5                 	
F6  	18.77  	81.5                 	
F7  	22.48  	78                   	
F8  	19.95  	78.5                 	
F9  	24.72  	82.5                 	
F10 	23.69  	81                   	
F11 	24.42  	79.5                 	
F12 	19.91  	79                   	
G1  	19.78  	82.5                 	
G2  	25.15  	80                   	
G3  	20.8   	80                   	
G4  	19.11  	77                   	
G5  	19.1   	81.5                 	
G6  	19.45  	81.5                 	
G7  	22.85  	77.5                 	
G8  	20.75  	78.5                 	
G9  	25.03  	82.5                 	
G10 	22.94  	81                   	
G11 	25.22  	79.5                 	
G12 	20.79  	79                   	
H1  	No Cq  	57.5                 	
H2  	No Cq  	69.5                 	
H3  	No Cq  	80                   	
H4  	No Cq  	95                   	
H5  	No Cq  	57.5                 	
H6  	No Cq  	57                   	
H7  	No Cq  	58                   	
H8  	No Cq  	95                   	
H9  	No Cq  	55                   	
H10 	No Cq  	82.5                 	
H11 	No Cq  	57.5                 	
H12 	No Cq  	57.5                 	
