Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	19.62  	82                   	
A2  	26.5   	79.5                 	
A3  	26.54  	79.5                 	
A4  	20.88  	77                   	
A5  	18.92  	81.5                 	
A6  	20.83  	81.5                 	
A7  	23.36  	77.5                 	
A8  	20.86  	78                   	
A9  	31.31  	82.5                 	
A10 	26.72  	80.5                 	
A11 	24.9   	79.5                 	
A12 	21.87  	78.5                 	
B1  	19.71  	82                   	
B2  	27.33  	80                   	
B3  	26.64  	80                   	
B4  	20.39  	77                   	
B5  	19.46  	81.5                 	
B6  	21.35  	81                   	
B7  	23.54  	77.5                 	
B8  	20.8   	78.5                 	
B9  	29.61  	82.5                 	
B10 	26.83  	80.5                 	
B11 	25.68  	79.5                 	
B12 	21.8   	78.5                 	
C1  	20.83  	82                   	
C2  	28.37  	79.5                 	
C3  	28.15  	80                   	
C4  	21.68  	77                   	
C5  	20.64  	81.5                 	
C6  	22.39  	81.5                 	
C7  	24.47  	77.5                 	
C8  	21.9   	78.5                 	
C9  	32.14  	82.5                 	
C10 	27.86  	81                   	
C11 	26.69  	79.5                 	
C12 	22.76  	78.5                 	
D1  	19.54  	82                   	
D2  	26.61  	80                   	
D3  	27.24  	80                   	
D4  	20.76  	77                   	
D5  	19.39  	81.5                 	
D6  	20.81  	81.5                 	
D7  	22.64  	77.5                 	
D8  	20.57  	78.5                 	
D9  	29.71  	82.5                 	
D10 	25.6   	80.5                 	
D11 	25.13  	79.5                 	
D12 	21.68  	78.5                 	
E1  	20.55  	82                   	
E2  	27.58  	80                   	
E3  	27.61  	80                   	
E4  	21.54  	77.5                 	
E5  	20.34  	81.5                 	
E6  	21.62  	81.5                 	
E7  	23.75  	77.5                 	
E8  	21.53  	78.5                 	
E9  	28.81  	82.5                 	
E10 	26.65  	81                   	
E11 	26.54  	79.5                 	
E12 	21.93  	78.5                 	
F1  	19.87  	82                   	
F2  	27.31  	80                   	
F3  	28.34  	80                   	
F4  	20.85  	77.5                 	
F5  	19.49  	81.5                 	
F6  	20.82  	81.5                 	
F7  	23.11  	77.5                 	
F8  	20.73  	78.5                 	
F9  	28.89  	82.5                 	
F10 	26.76  	81                   	
F11 	24.86  	79.5                 	
F12 	21.84  	78.5                 	
G1  	19.82  	82                   	
G2  	26.9   	79.5                 	
G3  	26.32  	79.5                 	
G4  	20.82  	77                   	
G5  	19     	81.5                 	
G6  	20.81  	81                   	
G7  	23.4   	77.5                 	
G8  	20.83  	78.5                 	
G9  	30.43  	82.5                 	
G10 	26.41  	80.5                 	
G11 	25.57  	79.5                 	
G12 	21.71  	78.5                 	
H1  	No Cq  	55                   	
H2  	No Cq  	60.5                 	
H3  	37.75  	60                   	
H4  	39.63  	77                   	
H5  	No Cq  	57.5                 	
H6  	No Cq  	57.5                 	
H7  	No Cq  	77                   	
H8  	37.95  	77                   	
H9  	No Cq  	55                   	
H10 	No Cq  	71.5                 	
H11 	No Cq  	58.5                 	
H12 	No Cq  	57                   	
