Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.83  	82                   	
A2  	25.35  	80                   	
A3  	22.62  	80                   	
A4  	18.9   	77                   	
A5  	18.59  	81.5                 	
A6  	19.63  	81                   	
A7  	21.93  	77.5                 	
A8  	20.27  	78                   	
A9  	25.9   	82.5                 	
A10 	23.84  	80.5                 	
A11 	23.94  	79.5                 	
A12 	20.96  	78.5                 	
B1  	19.65  	82                   	
B2  	25.87  	80                   	
B3  	24.28  	79.5                 	
B4  	19.87  	77                   	
B5  	18.99  	81.5                 	
B6  	20.08  	81.5                 	
B7  	22.83  	77.5                 	
B8  	20.75  	78                   	
B9  	27.88  	82.5                 	
B10 	25.82  	80.5                 	
B11 	24.95  	79.5                 	
B12 	21.13  	78.5                 	
C1  	18.99  	82                   	
C2  	26.55  	80                   	
C3  	25.07  	80                   	
C4  	20.42  	77                   	
C5  	18.83  	81.5                 	
C6  	20.59  	81.5                 	
C7  	22.47  	77.5                 	
C8  	20.48  	78.5                 	
C9  	32.72  	82.5                 	
C10 	24.85  	81                   	
C11 	24.72  	79.5                 	
C12 	21.69  	78.5                 	
D1  	18.78  	82                   	
D2  	26.72  	80                   	
D3  	26.33  	80                   	
D4  	19.87  	77.5                 	
D5  	18.54  	81.5                 	
D6  	19.91  	81.5                 	
D7  	22.3   	77.5                 	
D8  	19.95  	78.5                 	
D9  	28.64  	82.5                 	
D10 	25.77  	81                   	
D11 	24.24  	79.5                 	
D12 	21.72  	78.5                 	
E1  	19.27  	82                   	
E2  	25.8   	80                   	
E3  	18.8   	80                   	
E4  	18.83  	77                   	
E5  	19.43  	81.5                 	
E6  	19.78  	81                   	
E7  	22.63  	77.5                 	
E8  	20.79  	78.5                 	
E9  	21.62  	82.5                 	
E10 	22.72  	81                   	
E11 	24.89  	79.5                 	
E12 	21.22  	78.5                 	
F1  	18.84  	82                   	
F2  	24.34  	80                   	
F3  	18.77  	80                   	
F4  	18.61  	77.5                 	
F5  	18.1   	81.5                 	
F6  	18.87  	81                   	
F7  	21.86  	77.5                 	
F8  	20.07  	78.5                 	
F9  	23.52  	82.5                 	
F10 	22.42  	81                   	
F11 	24.2   	79.5                 	
F12 	20.17  	78.5                 	
G1  	19.06  	82                   	
G2  	24.8   	80                   	
G3  	20.99  	80                   	
G4  	19.57  	77                   	
G5  	18.79  	81.5                 	
G6  	19.92  	81                   	
G7  	22.59  	77.5                 	
G8  	20.5   	78                   	
G9  	26.84  	82.5                 	
G10 	24.5   	80.5                 	
G11 	24.89  	79.5                 	
G12 	21.01  	78.5                 	
H1  	No Cq  	57.5                 	
H2  	No Cq  	67.5                 	
H3  	No Cq  	63                   	
H4  	No Cq  	77                   	
H5  	No Cq  	55                   	
H6  	No Cq  	95                   	
H7  	No Cq  	78                   	
H8  	No Cq  	79.5                 	
H9  	No Cq  	55                   	
H10 	No Cq  	81                   	
H11 	No Cq  	57.5                 	
H12 	No Cq  	57.5                 	
