Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.95  	82                   	
A2  	23.69  	80                   	
A3  	18.85  	80                   	
A4  	18.82  	77.5                 	
A5  	18.69  	81.5                 	
A6  	19.68  	81                   	
A7  	22.5   	77.5                 	
A8  	20.61  	78.5                 	
A9  	21.7   	82.5                 	
A10 	22.69  	81                   	
A11 	24.7   	79.5                 	
A12 	20.74  	78.5                 	
B1  	18.93  	82                   	
B2  	23.96  	80                   	
B3  	20.01  	80                   	
B4  	18.85  	77.5                 	
B5  	18.68  	81.5                 	
B6  	18.93  	81.5                 	
B7  	22.44  	77.5                 	
B8  	20.15  	78.5                 	
B9  	24.84  	82.5                 	
B10 	23.51  	81                   	
B11 	24.09  	79.5                 	
B12 	20.84  	78.5                 	
C1  	18.91  	82                   	
C2  	23.92  	80                   	
C3  	17.89  	80                   	
C4  	18.6   	77.5                 	
C5  	18.76  	81.5                 	
C6  	18.94  	81.5                 	
C7  	22.49  	77.5                 	
C8  	20.51  	78.5                 	
C9  	19.71  	82.5                 	
C10 	21.98  	81                   	
C11 	24.62  	79.5                 	
C12 	20.58  	78.5                 	
D1  	18.61  	82                   	
D2  	22.95  	80                   	
D3  	18.87  	80                   	
D4  	18.55  	77.5                 	
D5  	17.95  	81.5                 	
D6  	18.66  	81.5                 	
D7  	21.9   	77.5                 	
D8  	19.77  	78.5                 	
D9  	21.89  	82.5                 	
D10 	22.05  	81                   	
D11 	23.97  	79.5                 	
D12 	19.86  	79                   	
E1  	18.89  	82                   	
E2  	24.7   	80                   	
E3  	19     	80                   	
E4  	18.8   	77.5                 	
E5  	18.72  	81.5                 	
E6  	19.52  	81                   	
E7  	22.1   	77.5                 	
E8  	19.98  	78.5                 	
E9  	25.76  	82.5                 	
E10 	23.2   	81                   	
E11 	24.61  	79.5                 	
E12 	20.74  	79                   	
F1  	19.66  	82                   	
F2  	24.7   	80                   	
F3  	23.77  	80                   	
F4  	19.75  	77.5                 	
F5  	18.89  	81.5                 	
F6  	19.69  	81.5                 	
F7  	22.75  	77.5                 	
F8  	20.73  	78.5                 	
F9  	26.86  	82.5                 	
F10 	25.66  	81                   	
F11 	25.11  	79.5                 	
F12 	20.98  	78.5                 	
G1  	19.28  	82                   	
G2  	26.17  	80                   	
G3  	21.81  	80                   	
G4  	19.76  	77.5                 	
G5  	18.93  	81.5                 	
G6  	20.13  	81.5                 	
G7  	22.91  	77.5                 	
G8  	20.88  	78.5                 	
G9  	25.48  	82.5                 	
G10 	24.85  	81                   	
G11 	25.1   	79.5                 	
G12 	21.65  	78.5                 	
H1  	No Cq  	57.5                 	
H2  	No Cq  	55                   	
H3  	No Cq  	65                   	
H4  	No Cq  	77                   	
H5  	No Cq  	57.5                 	
H6  	No Cq  	57                   	
H7  	No Cq  	78                   	
H8  	No Cq  	78.5                 	
H9  	No Cq  	58                   	
H10 	No Cq  	81.5                 	
H11 	No Cq  	57.5                 	
H12 	No Cq  	55                   	
