Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.76  	82                   	
A2  	25.59  	80                   	
A3  	22.55  	80                   	
A4  	18.81  	77.5                 	
A5  	18.59  	81.5                 	
A6  	18.91  	81                   	
A7  	21.76  	77.5                 	
A8  	19.86  	78.5                 	
A9  	25.74  	82.5                 	
A10 	23.67  	81                   	
A11 	23.92  	79.5                 	
A12 	20.74  	78.5                 	
B1  	19.25  	82                   	
B2  	25.65  	80                   	
B3  	24.37  	80                   	
B4  	19.8   	77.5                 	
B5  	19.05  	81.5                 	
B6  	19.83  	81.5                 	
B7  	22.77  	77.5                 	
B8  	20.56  	78                   	
B9  	27.68  	82.5                 	
B10 	25.73  	81                   	
B11 	24.9   	79.5                 	
B12 	21.18  	78.5                 	
C1  	18.85  	82                   	
C2  	26.62  	80                   	
C3  	25.38  	80                   	
C4  	19.8   	77.5                 	
C5  	18.85  	81.5                 	
C6  	20.56  	81.5                 	
C7  	22.55  	77.5                 	
C8  	20.5   	78.5                 	
C9  	32.49  	82.5                 	
C10 	24.94  	81                   	
C11 	24.69  	79.5                 	
C12 	21.55  	78.5                 	
D1  	18.67  	82                   	
D2  	26.75  	80                   	
D3  	25.78  	80                   	
D4  	19.89  	77.5                 	
D5  	18.54  	81.5                 	
D6  	19.91  	81.5                 	
D7  	21.88  	78                   	
D8  	19.93  	78.5                 	
D9  	28.43  	82.5                 	
D10 	25.53  	81                   	
D11 	24.49  	79.5                 	
D12 	21.56  	79                   	
E1  	19.49  	82                   	
E2  	25.49  	80                   	
E3  	18.7   	80                   	
E4  	18.89  	77.5                 	
E5  	18.89  	81.5                 	
E6  	19.81  	81                   	
E7  	22.45  	78                   	
E8  	20.67  	78.5                 	
E9  	21.52  	82.5                 	
E10 	22.75  	81                   	
E11 	24.78  	79.5                 	
E12 	21.24  	78.5                 	
F1  	18.74  	82                   	
F2  	24.21  	80                   	
F3  	18.64  	80                   	
F4  	18.59  	77.5                 	
F5  	18.63  	81.5                 	
F6  	18.93  	81                   	
F7  	21.82  	77.5                 	
F8  	19.95  	78.5                 	
F9  	23.18  	82.5                 	
F10 	22.33  	81                   	
F11 	24.01  	79.5                 	
F12 	20.19  	78.5                 	
G1  	18.97  	82                   	
G2  	24.58  	80                   	
G3  	20.99  	80                   	
G4  	19.55  	77.5                 	
G5  	18.74  	81.5                 	
G6  	19.69  	81.5                 	
G7  	22.63  	77.5                 	
G8  	20.44  	78.5                 	
G9  	26.73  	82.5                 	
G10 	24.06  	81                   	
G11 	24.17  	79.5                 	
G12 	20.96  	79                   	
H1  	No Cq  	55                   	
H2  	No Cq  	80                   	
H3  	No Cq  	80.5                 	
H4  	No Cq  	76.5                 	
H5  	No Cq  	57                   	
H6  	No Cq  	55                   	
H7  	No Cq  	55                   	
H8  	39.16  	77.5                 	
H9  	35.88  	57.5                 	
H10 	No Cq  	80.5                 	
H11 	No Cq  	57.5                 	
H12 	No Cq  	59.5                 	
