Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.8   	82.5                 	
A2  	26     	80                   	
A3  	25.45  	80                   	
A4  	20.29  	77.5                 	
A5  	18.7   	81.5                 	
A6  	19.85  	81.5                 	
A7  	22.66  	77.5                 	
A8  	19.86  	78.5                 	
A9  	31.08  	82                   	
A10 	25.59  	81                   	
A11 	25.35  	79.5                 	
A12 	20.79  	79                   	
B1  	18.8   	82.5                 	
B2  	26.33  	80                   	
B3  	24.5   	80                   	
B4  	19.85  	77.5                 	
B5  	18.61  	81.5                 	
B6  	20.58  	81.5                 	
B7  	22.54  	78                   	
B8  	19.83  	78.5                 	
B9  	29.7   	82.5                 	
B10 	25.52  	81                   	
B11 	24.91  	80                   	
B12 	21.16  	79                   	
C1  	18.85  	82.5                 	
C2  	26.7   	80                   	
C3  	23.48  	80                   	
C4  	19.87  	77.5                 	
C5  	18.6   	81.5                 	
C6  	20.62  	81                   	
C7  	22.62  	77.5                 	
C8  	19.95  	78.5                 	
C9  	29.89  	82.5                 	
C10 	25.67  	81                   	
C11 	25.04  	80                   	
C12 	21.13  	79                   	
D1  	18.87  	82.5                 	
D2  	23.74  	80                   	
D3  	18     	80                   	
D4  	18.6   	77.5                 	
D5  	18.73  	81.5                 	
D6  	17.99  	81                   	
D7  	21.96  	77.5                 	
D8  	19.86  	78.5                 	
D9  	20.95  	82.5                 	
D10 	22.94  	81                   	
D11 	24.8   	79.5                 	
D12 	19.9   	79                   	
E1  	19.77  	82.5                 	
E2  	24.8   	80                   	
E3  	18.61  	80.5                 	
E4  	19.45  	77.5                 	
E5  	19.6   	81.5                 	
E6  	19.17  	81                   	
E7  	22.86  	78                   	
E8  	20.79  	78.5                 	
E9  	22.04  	82.5                 	
E10 	23.67  	81                   	
E11 	25.29  	80                   	
E12 	20.81  	79                   	
F1  	18.85  	82.5                 	
F2  	24.14  	80                   	
F3  	17.68  	80                   	
F4  	18     	77.5                 	
F5  	18.63  	81.5                 	
F6  	17.94  	81.5                 	
F7  	21.75  	78                   	
F8  	19.84  	78.5                 	
F9  	20.8   	82.5                 	
F10 	21.98  	81                   	
F11 	24.42  	80                   	
F12 	19.96  	79                   	
G1  	19.16  	82.5                 	
G2  	23.9   	80                   	
G3  	17.94  	80                   	
G4  	19.53  	77.5                 	
G5  	18.94  	81.5                 	
G6  	19.13  	81.5                 	
G7  	22.59  	78                   	
G8  	20.53  	78.5                 	
G9  	21.85  	82.5                 	
G10 	22.97  	81                   	
G11 	25.04  	80                   	
G12 	20.79  	79                   	
H1  	No Cq  	57.5                 	
H2  	No Cq  	79                   	
H3  	No Cq  	80                   	
H4  	No Cq  	77.5                 	
H5  	No Cq  	57.5                 	
H6  	No Cq  	57.5                 	
H7  	No Cq  	55                   	
H8  	No Cq  	79                   	
H9  	No Cq  	58                   	
H10 	No Cq  	80.5                 	
H11 	No Cq  	57.5                 	
H12 	No Cq  	55                   	
