Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.7   	82                   	
A2  	25.41  	80                   	
A3  	22.51  	80                   	
A4  	19.49  	77                   	
A5  	18.57  	81.5                 	
A6  	19.54  	81                   	
A7  	22.36  	77.5                 	
A8  	19.72  	78.5                 	
A9  	26.88  	82                   	
A10 	24.35  	81                   	
A11 	24.6   	79.5                 	
A12 	20.59  	79                   	
B1  	18.88  	82                   	
B2  	25.61  	80                   	
B3  	25.22  	80                   	
B4  	19.57  	77                   	
B5  	18.62  	81.5                 	
B6  	19.49  	81                   	
B7  	22.49  	77.5                 	
B8  	19.76  	78                   	
B9  	29.48  	82                   	
B10 	25.42  	81                   	
B11 	24.74  	79.5                 	
B12 	20.81  	79                   	
C1  	18.98  	82                   	
C2  	25.48  	80                   	
C3  	24.57  	80                   	
C4  	20.53  	77                   	
C5  	18.91  	81.5                 	
C6  	19.83  	81.5                 	
C7  	22.57  	77.5                 	
C8  	20.49  	78.5                 	
C9  	28.7   	82.5                 	
C10 	25.92  	81                   	
C11 	24.8   	79.5                 	
C12 	21.09  	79                   	
D1  	18.77  	82                   	
D2  	27.2   	80                   	
D3  	25.29  	80                   	
D4  	20.53  	77                   	
D5  	18.67  	81.5                 	
D6  	20.55  	81                   	
D7  	22.61  	77.5                 	
D8  	19.96  	78                   	
D9  	27.81  	82.5                 	
D10 	25.99  	81                   	
D11 	24.98  	79.5                 	
D12 	21.03  	79                   	
E1  	18.99  	82                   	
E2  	27.39  	80                   	
E3  	26.45  	80                   	
E4  	21.42  	77                   	
E5  	18.96  	81.5                 	
E6  	20.85  	81                   	
E7  	23.41  	77.5                 	
E8  	20.71  	78.5                 	
E9  	28.26  	82.5                 	
E10 	26.55  	81                   	
E11 	25.11  	79.5                 	
E12 	21.95  	79                   	
F1  	19.93  	82                   	
F2  	27.35  	80                   	
F3  	27.68  	80                   	
F4  	20.96  	77.5                 	
F5  	19.7   	81.5                 	
F6  	20.92  	81.5                 	
F7  	23.43  	77.5                 	
F8  	20.76  	78.5                 	
F9  	31.7   	82.5                 	
F10 	26.61  	81                   	
F11 	26.06  	79.5                 	
F12 	21.93  	79                   	
G1  	19.12  	82                   	
G2  	27.55  	79.5                 	
G3  	25.95  	80                   	
G4  	20.47  	77.5                 	
G5  	18.95  	81.5                 	
G6  	20.76  	81.5                 	
G7  	22.7   	77.5                 	
G8  	20.52  	78                   	
G9  	29.66  	82.5                 	
G10 	25.96  	81                   	
G11 	25.04  	79.5                 	
G12 	21.71  	79                   	
H1  	No Cq  	57.5                 	
H2  	No Cq  	55                   	
H3  	No Cq  	95                   	
H4  	No Cq  	77                   	
H5  	No Cq  	55                   	
H6  	No Cq  	57.5                 	
H7  	No Cq  	55                   	
H8  	No Cq  	78                   	
H9  	No Cq  	55                   	
H10 	No Cq  	81                   	
H11 	No Cq  	57.5                 	
H12 	No Cq  	57.5                 	
