Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.64  	82.5                 	
A2  	25.44  	80                   	
A3  	22.53  	80                   	
A4  	19.46  	77.5                 	
A5  	18.55  	81.5                 	
A6  	19.52  	81                   	
A7  	22.24  	77.5                 	
A8  	19.64  	78.5                 	
A9  	27.33  	82.5                 	
A10 	24.72  	81                   	
A11 	24.53  	79.5                 	
A12 	20.53  	79                   	
B1  	18.81  	82.5                 	
B2  	25.51  	80                   	
B3  	24.62  	80                   	
B4  	19.7   	77.5                 	
B5  	18.49  	81.5                 	
B6  	19.56  	81                   	
B7  	22.41  	77.5                 	
B8  	19.71  	78.5                 	
B9  	28.49  	82.5                 	
B10 	25.53  	81                   	
B11 	24.71  	79.5                 	
B12 	20.85  	79                   	
C1  	18.95  	82.5                 	
C2  	25.27  	80                   	
C3  	24.41  	80                   	
C4  	20.41  	77.5                 	
C5  	18.87  	81.5                 	
C6  	19.72  	81.5                 	
C7  	22.48  	78                   	
C8  	20.49  	78.5                 	
C9  	29.17  	82.5                 	
C10 	26.23  	81                   	
C11 	24.85  	79.5                 	
C12 	21.05  	79                   	
D1  	18.67  	82                   	
D2  	26.62  	80                   	
D3  	24.89  	80                   	
D4  	20.42  	77.5                 	
D5  	18.65  	81.5                 	
D6  	20.38  	81                   	
D7  	22.44  	78                   	
D8  	19.88  	78.5                 	
D9  	27.66  	82.5                 	
D10 	25.85  	81                   	
D11 	24.99  	79.5                 	
D12 	20.99  	79                   	
E1  	18.9   	82.5                 	
E2  	27.27  	80                   	
E3  	26.47  	80                   	
E4  	21.34  	77.5                 	
E5  	19.32  	81.5                 	
E6  	20.88  	81                   	
E7  	23.35  	78                   	
E8  	20.66  	78.5                 	
E9  	27.86  	82.5                 	
E10 	26.51  	81                   	
E11 	25.47  	80                   	
E12 	21.93  	79                   	
F1  	19.92  	82.5                 	
F2  	27.34  	80                   	
F3  	26.93  	80                   	
F4  	21.42  	77.5                 	
F5  	19.71  	81.5                 	
F6  	20.86  	81.5                 	
F7  	23.44  	78                   	
F8  	20.84  	78.5                 	
F9  	30.5   	82.5                 	
F10 	26.68  	81                   	
F11 	25.98  	80                   	
F12 	22.12  	79                   	
G1  	18.97  	82.5                 	
G2  	27.55  	80                   	
G3  	26.31  	80                   	
G4  	20.51  	77.5                 	
G5  	18.96  	81.5                 	
G6  	20.71  	81.5                 	
G7  	22.58  	78                   	
G8  	20.54  	78.5                 	
G9  	29.46  	82.5                 	
G10 	25.79  	81                   	
G11 	24.95  	80                   	
G12 	21.77  	79                   	
H1  	No Cq  	55                   	
H2  	No Cq  	80                   	
H3  	No Cq  	79.5                 	
H4  	No Cq  	76                   	
H5  	No Cq  	57.5                 	
H6  	No Cq  	57.5                 	
H7  	No Cq  	57                   	
H8  	No Cq  	78.5                 	
H9  	No Cq  	95                   	
H10 	No Cq  	80.5                 	
H11 	No Cq  	57.5                 	
H12 	No Cq  	57                   	
