Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.97  	82.5                 	
A2  	28.99  	80                   	
A3  	25.22  	80                   	
A4  	20.57  	77.5                 	
A5  	18.69  	81.5                 	
A6  	20.73  	81                   	
A7  	23.09  	77.5                 	
A8  	20.59  	78.5                 	
A9  	29.25  	82.5                 	
A10 	26.16  	81                   	
A11 	25.35  	79.5                 	
A12 	21.59  	79                   	
B1  	18.95  	82.5                 	
B2  	27.19  	80                   	
B3  	27.33  	80                   	
B4  	20.52  	77.5                 	
B5  	18.6   	81.5                 	
B6  	20.65  	81                   	
B7  	22.88  	77.5                 	
B8  	20.42  	78.5                 	
B9  	30.96  	82.5                 	
B10 	26.63  	81                   	
B11 	24.98  	80                   	
B12 	20.9   	79                   	
C1  	19.75  	82.5                 	
C2  	27.25  	80                   	
C3  	26.45  	80                   	
C4  	20.72  	77.5                 	
C5  	18.94  	81.5                 	
C6  	20.83  	81.5                 	
C7  	23.46  	77.5                 	
C8  	20.73  	78.5                 	
C9  	31.74  	82.5                 	
C10 	26.67  	81                   	
C11 	25.62  	80                   	
C12 	21.73  	79                   	
D1  	18.77  	82.5                 	
D2  	26.39  	80                   	
D3  	26.49  	80                   	
D4  	20.4   	77.5                 	
D5  	18.53  	81.5                 	
D6  	19.88  	81                   	
D7  	22.51  	78                   	
D8  	19.91  	78.5                 	
D9  	32.31  	82.5                 	
D10 	26.33  	81                   	
D11 	24.78  	80                   	
D12 	20.84  	79                   	
E1  	18.8   	82.5                 	
E2  	27.35  	80                   	
E3  	25.35  	80                   	
E4  	19.8   	77.5                 	
E5  	18.03  	81.5                 	
E6  	20.53  	81                   	
E7  	22.53  	78                   	
E8  	20.48  	78.5                 	
E9  	28.73  	82.5                 	
E10 	25.79  	81                   	
E11 	24.82  	79.5                 	
E12 	21.08  	79                   	
F1  	19.07  	82.5                 	
F2  	26.69  	80                   	
F3  	25.75  	80                   	
F4  	20.6   	77.5                 	
F5  	18.72  	81.5                 	
F6  	20.66  	81.5                 	
F7  	22.86  	78                   	
F8  	20.71  	78.5                 	
F9  	29.62  	82.5                 	
F10 	25.76  	81                   	
F11 	25.26  	80                   	
F12 	21.75  	79                   	
G1  	19.1   	82.5                 	
G2  	27.58  	80                   	
G3  	24.73  	80                   	
G4  	20.72  	77.5                 	
G5  	18.77  	81.5                 	
G6  	20.92  	81.5                 	
G7  	23.01  	78                   	
G8  	20.74  	78.5                 	
G9  	31.59  	82.5                 	
G10 	26.71  	81                   	
G11 	25.64  	80                   	
G12 	21.73  	79                   	
H1  	No Cq  	57.5                 	
H2  	No Cq  	79                   	
H3  	No Cq  	79.5                 	
H4  	No Cq  	77.5                 	
H5  	No Cq  	58                   	
H6  	No Cq  	57.5                 	
H7  	No Cq  	95                   	
H8  	No Cq  	78.5                 	
H9  	No Cq  	57.5                 	
H10 	No Cq  	81.5                 	
H11 	No Cq  	58.5                 	
H12 	No Cq  	57.5                 	
