Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	17.88  	82                   	
A2  	24.45  	80                   	
A3  	24.82  	80                   	
A4  	18.71  	77                   	
A5  	17.72  	81.5                 	
A6  	18.47  	81.5                 	
A7  	21.68  	77.5                 	
A8  	19.7   	78.5                 	
A9  	27.75  	82.5                 	
A10 	24.37  	81                   	
A11 	23.99  	79.5                 	
A12 	20.01  	78.5                 	
B1  	19.2   	82                   	
B2  	25.67  	80                   	
B3  	21.49  	80                   	
B4  	19.51  	77.5                 	
B5  	19.51  	81.5                 	
B6  	19.87  	81                   	
B7  	23.17  	77.5                 	
B8  	20.72  	78.5                 	
B9  	24.82  	82.5                 	
B10 	24.54  	81                   	
B11 	24.98  	79.5                 	
B12 	21.62  	78.5                 	
C1  	18.7   	82                   	
C2  	24.3   	80                   	
C3  	23.75  	80                   	
C4  	18.85  	77.5                 	
C5  	18.6   	81.5                 	
C6  	18.9   	81.5                 	
C7  	21.81  	77.5                 	
C8  	19.81  	78.5                 	
C9  	28.44  	82.5                 	
C10 	24.74  	81                   	
C11 	24.16  	79.5                 	
C12 	20.56  	78.5                 	
D1  	18.54  	82                   	
D2  	24.51  	80                   	
D3  	20.7   	80                   	
D4  	18.74  	77.5                 	
D5  	18.65  	81.5                 	
D6  	19.41  	81                   	
D7  	21.87  	78                   	
D8  	19.91  	78.5                 	
D9  	25.04  	82.5                 	
D10 	24.24  	81                   	
D11 	24.66  	79.5                 	
D12 	20.8   	79                   	
E1  	18.79  	82                   	
E2  	26.5   	80                   	
E3  	26.17  	80                   	
E4  	20.39  	77.5                 	
E5  	18.59  	81.5                 	
E6  	20.21  	81.5                 	
E7  	22.26  	78                   	
E8  	19.82  	78.5                 	
E9  	29.66  	82.5                 	
E10 	25.01  	80.5                 	
E11 	24.54  	79.5                 	
E12 	21.55  	79                   	
F1  	18.86  	82                   	
F2  	27.1   	80                   	
F3  	26.51  	80                   	
F4  	20.83  	77.5                 	
F5  	18.72  	81.5                 	
F6  	20.48  	81.5                 	
F7  	22.71  	78                   	
F8  	20.71  	78.5                 	
F9  	28.97  	82.5                 	
F10 	25.59  	80.5                 	
F11 	25.09  	79.5                 	
F12 	21.99  	78.5                 	
G1  	18.7   	82                   	
G2  	26.43  	79.5                 	
G3  	25.8   	80                   	
G4  	19.63  	77                   	
G5  	18.5   	81.5                 	
G6  	19.81  	81.5                 	
G7  	22.47  	77.5                 	
G8  	19.97  	78.5                 	
G9  	28.62  	82.5                 	
G10 	25.68  	81                   	
G11 	24.67  	79.5                 	
G12 	21.07  	79                   	
H1  	No Cq  	57                   	
H2  	No Cq  	62.5                 	
H3  	No Cq  	67.5                 	
H4  	No Cq  	76.5                 	
H5  	No Cq  	55                   	
H6  	No Cq  	57.5                 	
H7  	No Cq  	65                   	
H8  	No Cq  	78.5                 	
H9  	No Cq  	59                   	
H10 	No Cq  	71                   	
H11 	No Cq  	57.5                 	
H12 	No Cq  	58.5                 	
