Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.99  	82                   	
A2  	26.75  	80                   	
A3  	27.62  	80                   	
A4  	20.72  	77                   	
A5  	18.62  	81.5                 	
A6  	20.32  	81                   	
A7  	22.81  	77.5                 	
A8  	20.59  	78                   	
A9  	27.86  	82.5                 	
A10 	27.17  	81                   	
A11 	24.74  	79.5                 	
A12 	21.83  	78.5                 	
B1  	18.83  	82                   	
B2  	27.35  	80                   	
B3  	26.48  	80                   	
B4  	20.4   	77                   	
B5  	18.63  	81.5                 	
B6  	20.72  	81                   	
B7  	22.65  	77.5                 	
B8  	20.49  	78                   	
B9  	30.9   	82                   	
B10 	26.46  	81                   	
B11 	24.6   	79.5                 	
B12 	21.69  	78.5                 	
C1  	19.44  	82                   	
C2  	27.72  	79.5                 	
C3  	26.45  	80                   	
C4  	20.5   	77                   	
C5  	18.84  	81.5                 	
C6  	20.61  	81.5                 	
C7  	22.86  	77.5                 	
C8  	20.4   	78                   	
C9  	30.47  	82.5                 	
C10 	26.57  	81                   	
C11 	25.11  	79.5                 	
C12 	21.69  	78.5                 	
D1  	19.69  	82                   	
D2  	27.68  	80                   	
D3  	26.6   	80                   	
D4  	20.81  	77                   	
D5  	19.41  	81.5                 	
D6  	20.98  	81                   	
D7  	23.48  	77.5                 	
D8  	20.67  	78                   	
D9  	32.57  	82.5                 	
D10 	26.64  	81                   	
D11 	25.51  	79.5                 	
D12 	22.15  	78.5                 	
E1  	21.39  	82                   	
E2  	29.4   	80                   	
E3  	31.04  	80                   	
E4  	22.64  	77.5                 	
E5  	20.72  	81.5                 	
E6  	22.51  	81                   	
E7  	24.56  	77.5                 	
E8  	22.42  	78.5                 	
E9  	29.37  	82.5                 	
E10 	29.21  	81                   	
E11 	26.98  	79.5                 	
E12 	23.66  	78.5                 	
F1  	18.86  	82                   	
F2  	26.45  	80                   	
F3  	24.93  	80                   	
F4  	19.94  	77.5                 	
F5  	18.57  	81.5                 	
F6  	20.52  	81                   	
F7  	22.62  	77.5                 	
F8  	20.56  	78.5                 	
F9  	30.96  	82.5                 	
F10 	25.94  	81                   	
F11 	24.88  	79.5                 	
F12 	21.17  	78.5                 	
G1  	19.46  	82                   	
G2  	26.58  	79.5                 	
G3  	26.77  	79.5                 	
G4  	20.3   	77                   	
G5  	18.9   	81.5                 	
G6  	19.8   	81                   	
G7  	22.75  	77.5                 	
G8  	20.57  	78                   	
G9  	28.89  	82.5                 	
G10 	26.44  	80.5                 	
G11 	24.77  	79.5                 	
G12 	21.42  	78.5                 	
H1  	No Cq  	55                   	
H2  	No Cq  	55                   	
H3  	No Cq  	66.5                 	
H4  	No Cq  	76.5                 	
H5  	No Cq  	55                   	
H6  	No Cq  	57.5                 	
H7  	No Cq  	55                   	
H8  	39.8   	76.5                 	
H9  	No Cq  	71.5                 	
H10 	No Cq  	95                   	
H11 	No Cq  	57.5                 	
H12 	No Cq  	55                   	
