Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.86  	82.5                 	
A2  	25.61  	80                   	
A3  	19.82  	77.5                 	
A4  	24.75  	80                   	
A5  	18.71  	81.5                 	
A6  	20.11  	81.5                 	
A7  	22.39  	77.5                 	
A8  	20.24  	78.5                 	
A9  	29.04  	82.5                 	
A10 	26.04  	81                   	
A11 	24.49  	79.5                 	
A12 	21.26  	79                   	
B1  	20.8   	82.5                 	
B2  	27.11  	80                   	
B3  	21.56  	77.5                 	
B4  	27.64  	80                   	
B5  	20.45  	81.5                 	
B6  	21.41  	81.5                 	
B7  	24.28  	77.5                 	
B8  	21.72  	78.5                 	
B9  	29.73  	82.5                 	
B10 	27.69  	81                   	
B11 	26.45  	79.5                 	
B12 	22.63  	79                   	
C1  	18.92  	82.5                 	
C2  	26.47  	80                   	
C3  	19.66  	77.5                 	
C4  	23.5   	80                   	
C5  	18.65  	81.5                 	
C6  	19.88  	81.5                 	
C7  	22.55  	78                   	
C8  	20.34  	78.5                 	
C9  	28.94  	82.5                 	
C10 	25.52  	81                   	
C11 	24.76  	79.5                 	
C12 	21.05  	79                   	
D1  	19.18  	82.5                 	
D2  	27.22  	80                   	
D3  	20.53  	77.5                 	
D4  	26.32  	80                   	
D5  	18.82  	81.5                 	
D6  	20.05  	81                   	
D7  	22.73  	78                   	
D8  	20.5   	78.5                 	
D9  	28.66  	82.5                 	
D10 	26.34  	81                   	
D11 	25.04  	79.5                 	
D12 	21.72  	79                   	
E1  	18.87  	82.5                 	
E2  	26.39  	80                   	
E3  	20.43  	77.5                 	
E4  	26.29  	80                   	
E5  	18.51  	81.5                 	
E6  	19.9   	81                   	
E7  	22.66  	78                   	
E8  	20.48  	78.5                 	
E9  	28.75  	82.5                 	
E10 	26.42  	81                   	
E11 	24.8   	79.5                 	
E12 	21.53  	79                   	
F1  	19.06  	82.5                 	
F2  	26.57  	80                   	
F3  	20.46  	77.5                 	
F4  	27.37  	80                   	
F5  	18.64  	81.5                 	
F6  	19.97  	81                   	
F7  	22.79  	78                   	
F8  	20.09  	78.5                 	
F9  	27.68  	82.5                 	
F10 	25.84  	81                   	
F11 	25.08  	80                   	
F12 	21.18  	79                   	
G1  	19.18  	82.5                 	
G2  	25.61  	80                   	
G3  	20.02  	77.5                 	
G4  	24.93  	80                   	
G5  	18.78  	81.5                 	
G6  	20.06  	81                   	
G7  	22.7   	78                   	
G8  	20.52  	78.5                 	
G9  	30.12  	82.5                 	
G10 	25.96  	81                   	
G11 	24.65  	80                   	
G12 	21.24  	79                   	
H1  	No Cq  	55                   	
H2  	No Cq  	79.5                 	
H3  	No Cq  	77                   	
H4  	No Cq  	80.5                 	
H5  	No Cq  	57.5                 	
H6  	No Cq  	57.5                 	
H7  	No Cq  	58.5                 	
H8  	No Cq  	59                   	
H9  	No Cq  	57.5                 	
H10 	No Cq  	80.5                 	
H11 	No Cq  	57.5                 	
H12 	No Cq  	57.5                 	
