Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.6   	82.5                 	
A2  	25.55  	80                   	
A3  	24.13  	80                   	
A4  	20.22  	77                   	
A5  	18.43  	81                   	
A6  	20.36  	81.5                 	
A7  	22.55  	77.5                 	
A8  	20.31  	78.5                 	
A9  	30.82  	82.5                 	
A10 	26.32  	80.5                 	
A11 	24.42  	79.5                 	
A12 	21.29  	79                   	
B1  	18.97  	82.5                 	
B2  	24.52  	80                   	
B3  	24.07  	80                   	
B4  	19.53  	77.5                 	
B5  	18.68  	81.5                 	
B6  	19.54  	81.5                 	
B7  	22.53  	77.5                 	
B8  	20.4   	78.5                 	
B9  	27.39  	82.5                 	
B10 	25.59  	81                   	
B11 	24.65  	79.5                 	
B12 	20.6   	78.5                 	
C1  	18.63  	82.5                 	
C2  	24.44  	80                   	
C3  	19.84  	80                   	
C4  	18.75  	77                   	
C5  	18.35  	81.5                 	
C6  	19.6   	81.5                 	
C7  	22.4   	77.5                 	
C8  	19.87  	78.5                 	
C9  	24.93  	82.5                 	
C10 	22.84  	81                   	
C11 	24.34  	79.5                 	
C12 	20.64  	78.5                 	
D1  	19.44  	82                   	
D2  	25.55  	80                   	
D3  	23.3   	80                   	
D4  	19.66  	77                   	
D5  	18.89  	81.5                 	
D6  	19.75  	81                   	
D7  	22.97  	77.5                 	
D8  	20.74  	78.5                 	
D9  	27.77  	82.5                 	
D10 	25.39  	80.5                 	
D11 	25.02  	79.5                 	
D12 	20.9   	78.5                 	
E1  	19.03  	82.5                 	
E2  	24.69  	80                   	
E3  	19.71  	80                   	
E4  	18.82  	77.5                 	
E5  	18.75  	81.5                 	
E6  	19.84  	81                   	
E7  	22.56  	77.5                 	
E8  	20.56  	78.5                 	
E9  	26.62  	82.5                 	
E10 	23.48  	81                   	
E11 	24.89  	79.5                 	
E12 	20.73  	79                   	
F1  	19.07  	82.5                 	
F2  	26.58  	80                   	
F3  	27.4   	80                   	
F4  	20.67  	77.5                 	
F5  	18.83  	81.5                 	
F6  	20.54  	81.5                 	
F7  	22.81  	77.5                 	
F8  	20.74  	78.5                 	
F9  	27.94  	82.5                 	
F10 	26.28  	81                   	
F11 	24.99  	79.5                 	
F12 	21.29  	79                   	
G1  	18.73  	82                   	
G2  	25.76  	80                   	
G3  	24.9   	80                   	
G4  	20.43  	77                   	
G5  	18.05  	81.5                 	
G6  	20.1   	81.5                 	
G7  	22.54  	77.5                 	
G8  	20.44  	78                   	
G9  	No Cq  	58.5                 	
G10 	25.61  	81                   	
G11 	24.82  	79.5                 	
G12 	20.93  	78.5                 	
H1  	No Cq  	57.5                 	
H2  	No Cq  	79.5                 	
H3  	No Cq  	79                   	
H4  	No Cq  	77.5                 	
H5  	No Cq  	57.5                 	
H6  	No Cq  	55                   	
H7  	No Cq  	77.5                 	
H8  	No Cq  	76.5                 	
H9  	No Cq  	95                   	
H10 	No Cq  	81                   	
H11 	No Cq  	58                   	
H12 	No Cq  	57                   	
