Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	19.52  	82                   	
A2  	26.15  	79.5                 	
A3  	25.81  	80                   	
A4  	20.61  	77                   	
A5  	18.9   	81.5                 	
A6  	20.73  	81.5                 	
A7  	23.21  	77.5                 	
A8  	20.85  	78                   	
A9  	29.47  	82                   	
A10 	25.6   	80.5                 	
A11 	24.93  	79.5                 	
A12 	21.19  	78.5                 	
B1  	18.92  	82                   	
B2  	25.71  	79.5                 	
B3  	26.63  	80                   	
B4  	19.77  	77                   	
B5  	18.76  	81.5                 	
B6  	19.79  	81.5                 	
B7  	22.59  	77.5                 	
B8  	20.39  	78                   	
B9  	31.77  	82                   	
B10 	25.52  	80.5                 	
B11 	24.56  	79.5                 	
B12 	20.96  	78.5                 	
C1  	18.93  	82                   	
C2  	26.88  	80                   	
C3  	26.69  	80                   	
C4  	20.34  	77                   	
C5  	18.79  	81.5                 	
C6  	20.45  	81.5                 	
C7  	22.59  	77.5                 	
C8  	20.04  	78                   	
C9  	31.31  	82.5                 	
C10 	25.8   	80.5                 	
C11 	24.77  	79.5                 	
C12 	21.54  	78.5                 	
D1  	18.8   	82                   	
D2  	27.39  	79.5                 	
D3  	25.26  	80                   	
D4  	20.32  	77                   	
D5  	18.68  	81.5                 	
D6  	19.81  	81.5                 	
D7  	22.48  	77.5                 	
D8  	19.95  	78.5                 	
D9  	31.07  	82.5                 	
D10 	25.66  	80.5                 	
D11 	24.87  	79.5                 	
D12 	21.15  	78.5                 	
E1  	18.96  	82                   	
E2  	25.43  	80                   	
E3  	24.52  	80                   	
E4  	19.75  	77                   	
E5  	18.72  	81.5                 	
E6  	20.22  	81                   	
E7  	22.57  	77.5                 	
E8  	20.56  	78.5                 	
E9  	28.53  	82.5                 	
E10 	26.34  	81                   	
E11 	24.73  	79.5                 	
E12 	21.59  	78.5                 	
F1  	19.83  	82                   	
F2  	26.45  	80                   	
F3  	25.38  	80                   	
F4  	20.75  	77                   	
F5  	19.47  	81.5                 	
F6  	20.41  	81.5                 	
F7  	23.32  	77.5                 	
F8  	20.96  	78.5                 	
F9  	27.77  	82.5                 	
F10 	25.49  	80.5                 	
F11 	25.04  	79.5                 	
F12 	21.74  	78.5                 	
G1  	18.85  	82                   	
G2  	26.61  	79.5                 	
G3  	25.85  	79.5                 	
G4  	20.43  	77                   	
G5  	18.23  	81.5                 	
G6  	20.53  	80.5                 	
G7  	22.4   	77.5                 	
G8  	20.11  	78                   	
G9  	27.45  	82.5                 	
G10 	26.32  	80.5                 	
G11 	24.56  	79.5                 	
G12 	21.15  	78.5                 	
H1  	No Cq  	57.5                 	
H2  	No Cq  	79.5                 	
H3  	No Cq  	55                   	
H4  	No Cq  	62.5                 	
H5  	No Cq  	57.5                 	
H6  	No Cq  	57.5                 	
H7  	No Cq  	77.5                 	
H8  	No Cq  	77.5                 	
H9  	38.24  	62                   	
H10 	No Cq  	67                   	
H11 	No Cq  	58.5                 	
H12 	No Cq  	58.5                 	
