Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.84  	82                   	
A2  	26.32  	80                   	
A3  	24.9   	80                   	
A4  	19.87  	77                   	
A5  	18.58  	81.5                 	
A6  	19.77  	81.5                 	
A7  	22.49  	77.5                 	
A8  	19.96  	78.5                 	
A9  	28.62  	82                   	
A10 	25.49  	80.5                 	
A11 	24.25  	79.5                 	
A12 	21.03  	78.5                 	
B1  	19.56  	82                   	
B2  	26.57  	80                   	
B3  	24.75  	80                   	
B4  	20.37  	77                   	
B5  	18.84  	81.5                 	
B6  	20.61  	81.5                 	
B7  	22.89  	77.5                 	
B8  	20.63  	78                   	
B9  	28.62  	82.5                 	
B10 	25.95  	80.5                 	
B11 	25.16  	79.5                 	
B12 	21.71  	78.5                 	
C1  	18.99  	82                   	
C2  	26.5   	79.5                 	
C3  	25.82  	79.5                 	
C4  	20.35  	77                   	
C5  	18.76  	81.5                 	
C6  	19.85  	81                   	
C7  	22.66  	77.5                 	
C8  	20.43  	78.5                 	
C9  	27.39  	82.5                 	
C10 	27.16  	81                   	
C11 	24.94  	79.5                 	
C12 	21.04  	78.5                 	
D1  	18.99  	82                   	
D2  	26.19  	80                   	
D3  	25.01  	80                   	
D4  	20.54  	77                   	
D5  	18.85  	81.5                 	
D6  	20.68  	81.5                 	
D7  	23.21  	77.5                 	
D8  	20.75  	78.5                 	
D9  	27.77  	82.5                 	
D10 	26.7   	80.5                 	
D11 	25     	79.5                 	
D12 	21.82  	78.5                 	
E1  	18.99  	82                   	
E2  	25.73  	80                   	
E3  	27.62  	80                   	
E4  	20.44  	77.5                 	
E5  	18.72  	81.5                 	
E6  	19.81  	81.5                 	
E7  	22.65  	78                   	
E8  	20.51  	78.5                 	
E9  	31.41  	82                   	
E10 	26.36  	81                   	
E11 	24.95  	79.5                 	
E12 	21.61  	78.5                 	
F1  	18.83  	82                   	
F2  	25.93  	80                   	
F3  	23.79  	80                   	
F4  	19.79  	77                   	
F5  	18.56  	81.5                 	
F6  	19.78  	81.5                 	
F7  	22.52  	77.5                 	
F8  	19.91  	78.5                 	
F9  	26.91  	82.5                 	
F10 	25.47  	81                   	
F11 	24.43  	79.5                 	
F12 	20.91  	78.5                 	
G1  	18.69  	82                   	
G2  	26.8   	79.5                 	
G3  	24.9   	79.5                 	
G4  	20.09  	77                   	
G5  	18.57  	81                   	
G6  	19.96  	81                   	
G7  	22.5   	77.5                 	
G8  	19.97  	78                   	
G9  	27.23  	82.5                 	
G10 	25.62  	80.5                 	
G11 	24.48  	79.5                 	
G12 	21.54  	78.5                 	
H1  	No Cq  	55                   	
H2  	No Cq  	95                   	
H3  	No Cq  	55                   	
H4  	No Cq  	76.5                 	
H5  	No Cq  	57                   	
H6  	No Cq  	55                   	
H7  	No Cq  	78                   	
H8  	38.94  	78                   	
H9  	No Cq  	58                   	
H10 	No Cq  	95                   	
H11 	No Cq  	55                   	
H12 	No Cq  	55                   	
