N_unmapped	708280	708280	708280
N_multimapping	554580	554580	554580
N_noFeature	3939482	11437778	4178187
N_ambiguous	618396	6673	35431
GMOY005425	0	0	0
GMOY005426	2528	33	2495
GMOY005427	3	0	3
GMOY005428	129	1	128
GMOY005430	337	5	332
GMOY013236	176	77	99
GMOY012806	0	0	0
GMOY013263	269	1	268
GMOY005432	5092	75	5017
GMOY006719	7332	138	7194
GMOY006720	241	0	241
GMOY006721	0	0	0
GMOY006722	68	1	67
GMOY006723	112	2	110
GMOY005509	352	5	347
GMOY005510	2	2	0
GMOY004568	0	0	0
GMOY004569	0	0	0
GMOY002403	1854	156	1698
GMOY002404	6	0	6
GMOY002405	725	13	712
GMOY006302	188	0	188
GMOY012847	0	0	0
GMOY006303	542	28	514
GMOY012701	0	0	0
GMOY007077	2	51	13
GMOY007078	2372	38	2396
GMOY007079	145	8	137
GMOY007080	61	2	59
GMOY007081	947	18	929
GMOY007082	46	4	42
GMOY007083	293	38	380
GMOY007084	16	100	41
GMOY007085	6871	73	6798
GMOY008638	1039	20	1019
GMOY008639	1338	15	1323
GMOY012739	0	0	0
GMOY008977	110	2	108
GMOY007065	71	1	120
GMOY007066	5	55	0
GMOY003957	231	4	227
GMOY003958	1036	429	607
GMOY003921	0	0	0
GMOY003922	0	0	0
GMOY003923	0	0	0
GMOY003924	0	0	0
GMOY003925	0	0	0
GMOY003926	0	0	0
GMOY008466	480	7	473
GMOY008112	1552	22	1530
GMOY008113	776	15	761
GMOY007064	497	6	491
GMOY001070	517	6	511
GMOY001071	550	11	539
GMOY001072	19	1	18
GMOY001073	515	4	511
GMOY001074	402	8	394
GMOY001075	211	6	209
GMOY001076	238	20	222
GMOY001077	221	7	216
GMOY001078	86	27	71
GMOY001079	1332	39	1335
GMOY001080	0	24	8
GMOY001081	258	1	257
GMOY001082	21	1	20
GMOY001083	312	5	307
GMOY009909	147	2	145
GMOY009254	337	7	330
GMOY009255	103	2	101
GMOY009256	790	12	845
GMOY009257	1605	90	1674
GMOY012191	0	32	0
GMOY012192	0	57	2
GMOY009258	322	14	308
GMOY009259	228	1	227
GMOY009260	2	2	0
GMOY009440	19	0	19
GMOY009441	1	0	1
GMOY009442	1726	39	1687
GMOY009443	3474	66	3408
GMOY009444	0	0	0
GMOY009445	2	0	2
GMOY009446	665	13	653
GMOY009447	29	5	25
GMOY009448	693	10	683
GMOY009449	0	166	4
GMOY009450	125	5	290
GMOY009451	2017	44	1973
GMOY009452	324	7	317
GMOY009453	1	1	0
GMOY009454	740	13	727
GMOY009455	175	1	174
GMOY009456	36	0	36
GMOY009457	872	19	853
GMOY012754	0	0	0
GMOY012866	0	0	0
GMOY009458	3	0	3
GMOY009459	5	0	5
GMOY009460	282	32	250
GMOY009461	602	8	594
GMOY009462	284	3	281
GMOY009463	594	585	9
GMOY009464	86	0	86
GMOY009465	195	9	186
GMOY009466	7	2	5
GMOY009467	86	275	58
GMOY009468	0	5	242
GMOY009469	126	3	123
GMOY009470	1082	24	1058
GMOY009471	37	0	37
GMOY009472	102	1	101
GMOY009473	132	0	132
GMOY009474	95	3	92
GMOY013231	1	0	1
GMOY012193	0	0	0
GMOY009475	13	2	11
GMOY009476	668	20	648
GMOY009477	23	0	23
GMOY009478	0	0	0
GMOY009479	0	0	0
GMOY009480	0	0	0
GMOY009481	0	0	0
GMOY009482	1	1	0
GMOY009483	690	9	681
GMOY009484	496	102	491
GMOY009485	0	2	95
GMOY009486	181	3	178
GMOY009487	204	7	197
GMOY009488	39	2	37
GMOY009489	627	7	620
GMOY009490	217	2	215
GMOY009491	4261	54	4207
GMOY009492	516	9	507
GMOY009493	567	15	552
GMOY009494	33	9	24
GMOY009495	74	47	27
GMOY009496	14	4	17
GMOY012194	1	5	3
GMOY009497	168	11	157
GMOY009498	210	3	212
GMOY009499	117	8	114
GMOY009500	294	116	294
GMOY012991	109	30	195
GMOY009501	202	4	199
GMOY009502	1902	48	1854
GMOY009503	177	8	181
GMOY009504	294	23	283
GMOY009505	1953	30	1923
GMOY009506	27	1	26
GMOY009507	161	0	161
GMOY009508	0	0	0
GMOY009509	1257	20	1237
GMOY009510	446	1	448
GMOY009511	248	6	245
GMOY009512	2	0	2
GMOY009513	4	3	1
GMOY009514	7	7	0
GMOY009515	178	106	180
GMOY009516	0	6	102
GMOY012992	216	7	209
GMOY009517	408	9	399
GMOY009518	140	2	138
GMOY009519	495	7	488
GMOY009520	237	5	232
GMOY009521	280	2	278
GMOY009522	1728	30	1698
GMOY009523	108	16	92
GMOY009524	1	0	1
GMOY009525	45	1	44
GMOY009526	0	0	0
GMOY009527	310	13	297
GMOY009528	215	170	203
GMOY009529	0	1	157
GMOY009531	322	14	308
GMOY009532	32	4	28
GMOY009530	356	2	354
GMOY009533	25	0	25
GMOY009534	415	16	399
GMOY009535	749	8	741
GMOY009536	786	23	763
GMOY009537	234	11	223
GMOY009538	0	0	0
GMOY009539	2182	75	2107
GMOY009540	872	15	857
GMOY009541	402	10	392
GMOY009542	0	0	0
GMOY009543	163	1	162
GMOY009544	31	1	30
GMOY009545	0	0	0
GMOY009546	417	5	412
GMOY009547	3	0	3
GMOY009548	2	0	2
GMOY009549	198	3	195
GMOY009550	6	1	5
GMOY009551	0	0	0
GMOY009552	2	1	1
GMOY009553	11	1	10
GMOY009554	201	193	8
GMOY009555	382	133	249
GMOY009556	306	1	305
GMOY009557	21	0	21
GMOY009558	260	11	249
GMOY009559	2	0	2
GMOY009560	0	0	0
GMOY009561	0	0	0
GMOY009562	5	1	4
GMOY009563	7	0	7
GMOY009564	7	0	7
GMOY009565	2	0	2
GMOY009566	83	0	83
GMOY009567	1019	37	982
GMOY009568	658	19	639
GMOY009570	1094	19	1077
GMOY009569	489	25	466
GMOY009571	34	2	32
GMOY009572	5	0	5
GMOY009573	13	6	7
GMOY009574	2008	47	1961
GMOY009575	2875	58	2818
GMOY009576	120	1	120
GMOY009577	9	0	9
GMOY009579	113	33	80
GMOY009578	91	9	82
GMOY009580	872	26	846
GMOY009581	343	4	340
GMOY009582	127	9	119
GMOY009583	1633	29	1604
GMOY009584	580	3	577
GMOY009585	631	7	624
GMOY009586	4	0	4
GMOY009587	2	1	1
GMOY009588	0	0	0
GMOY009589	0	0	0
GMOY009590	124	0	124
GMOY009591	1634	156	1564
GMOY009592	4	4	86
GMOY009593	551	10	541
GMOY009594	7	0	7
GMOY009595	1006	14	992
GMOY009596	723	12	711
GMOY009597	3039	44	2995
GMOY009598	461	6	455
GMOY009599	749	23	726
GMOY009600	13	9	4
GMOY009601	428	1529	336
GMOY009602	888	41	2284
GMOY009603	1063	14	1049
GMOY009604	18	2	16
GMOY009605	1	0	1
GMOY009606	617	4	613
GMOY009607	801	9	792
GMOY009608	370	9	361
GMOY009609	401	2	399
GMOY009610	25	23	2
