N_unmapped	757962	757962	757962
N_multimapping	559571	559571	559571
N_noFeature	3602411	10049637	3845598
N_ambiguous	565665	6387	33263
GMOY005425	0	0	0
GMOY005426	1725	24	1701
GMOY005427	2	0	2
GMOY005428	79	1	78
GMOY005430	294	7	287
GMOY013236	95	38	57
GMOY012806	0	0	0
GMOY013263	260	1	259
GMOY005432	5659	159	5500
GMOY006719	7229	203	7027
GMOY006720	185	2	184
GMOY006721	0	0	0
GMOY006722	77	2	75
GMOY006723	110	1	109
GMOY005509	293	2	291
GMOY005510	1	1	0
GMOY004568	0	0	0
GMOY004569	0	0	0
GMOY002403	867	134	733
GMOY002404	5	0	5
GMOY002405	500	8	492
GMOY006302	224	2	222
GMOY012847	0	0	0
GMOY006303	365	14	351
GMOY012701	1	1	0
GMOY007077	0	30	2
GMOY007078	4972	88	4916
GMOY007079	148	13	135
GMOY007080	45	2	43
GMOY007081	721	12	709
GMOY007082	45	1	44
GMOY007083	244	30	283
GMOY007084	13	45	37
GMOY007085	6451	109	6342
GMOY008638	763	24	739
GMOY008639	1054	23	1031
GMOY012739	0	0	0
GMOY008977	112	3	109
GMOY007065	72	5	110
GMOY007066	4	44	3
GMOY003957	378	3	375
GMOY003958	951	338	613
GMOY003921	0	0	0
GMOY003922	0	0	0
GMOY003923	0	0	0
GMOY003924	0	0	0
GMOY003925	0	0	0
GMOY003926	0	0	0
GMOY008466	390	15	375
GMOY008112	1316	35	1281
GMOY008113	636	11	625
GMOY007064	856	13	843
GMOY001070	402	11	391
GMOY001071	367	6	362
GMOY001072	51	7	45
GMOY001073	913	13	900
GMOY001074	349	17	332
GMOY001075	193	6	193
GMOY001076	230	13	223
GMOY001077	246	10	237
GMOY001078	110	17	99
GMOY001079	1002	32	1012
GMOY001080	1	30	8
GMOY001081	216	4	212
GMOY001082	100	4	96
GMOY001083	224	1	223
GMOY009909	410	8	402
GMOY009254	228	7	221
GMOY009255	95	2	93
GMOY009256	709	18	760
GMOY009257	1088	86	1138
GMOY012191	0	28	0
GMOY012192	0	35	0
GMOY009258	309	13	296
GMOY009259	259	3	256
GMOY009260	0	0	0
GMOY009440	14	0	14
GMOY009441	0	0	0
GMOY009442	1817	48	1769
GMOY009443	3001	64	2937
GMOY009444	0	0	0
GMOY009445	3	0	3
GMOY009446	395	3	392
GMOY009447	14	2	12
GMOY009448	511	17	494
GMOY009449	0	194	4
GMOY009450	83	8	273
GMOY009451	1552	32	1520
GMOY009452	268	0	268
