N_unmapped	859557	859557	859557
N_multimapping	606959	606959	606959
N_noFeature	3779511	9384134	3931311
N_ambiguous	482920	5124	28437
GMOY005425	2	0	2
GMOY005426	1079	4	1075
GMOY005427	0	0	0
GMOY005428	70	0	70
GMOY005430	310	2	308
GMOY013236	193	104	89
GMOY012806	0	0	0
GMOY013263	273	1	272
GMOY005432	2956	31	2925
GMOY006719	5878	71	5807
GMOY006720	156	0	156
GMOY006721	0	0	0
GMOY006722	84	0	84
GMOY006723	121	1	120
GMOY005509	291	2	289
GMOY005510	3	3	0
GMOY004568	1	0	1
GMOY004569	1	0	1
GMOY002403	1222	92	1130
GMOY002404	10	1	9
GMOY002405	587	5	582
GMOY006302	279	1	278
GMOY012847	0	0	0
GMOY006303	357	16	341
GMOY012701	0	0	0
GMOY007077	0	31	8
GMOY007078	4282	18	4303
GMOY007079	76	18	58
GMOY007080	55	0	55
GMOY007081	694	9	685
GMOY007082	44	0	44
GMOY007083	214	17	256
GMOY007084	7	49	17
GMOY007085	5481	37	5444
GMOY008638	677	6	671
GMOY008639	1174	8	1166
GMOY012739	1	0	1
GMOY008977	119	1	118
GMOY007065	122	2	162
GMOY007066	9	51	0
GMOY003957	472	6	466
GMOY003958	860	376	484
GMOY003921	0	0	0
GMOY003922	0	0	0
GMOY003923	0	0	0
GMOY003924	0	0	0
GMOY003925	0	0	0
GMOY003926	0	0	0
GMOY008466	487	8	479
GMOY008112	1002	5	997
GMOY008113	416	1	415
GMOY007064	2	0	2
GMOY001070	509	6	503
GMOY001071	481	4	477
GMOY001072	50	1	49
GMOY001073	976	10	966
GMOY001074	253	5	248
GMOY001075	209	8	207
GMOY001076	258	21	243
GMOY001077	229	6	227
GMOY001078	110	16	99
GMOY001079	814	8	828
GMOY001080	1	19	3
GMOY001081	153	1	152
GMOY001082	99	2	97
GMOY001083	351	1	350
GMOY009909	196	3	193
GMOY009254	156	2	154
GMOY009255	84	0	84
GMOY009256	502	4	559
GMOY009257	997	65	1060
GMOY012191	0	28	0
GMOY012192	0	36	0
GMOY009258	314	11	303
GMOY009259	222	2	220
GMOY009260	2	2	0
GMOY009440	13	0	13
GMOY009441	0	0	0
GMOY009442	1578	13	1565
GMOY009443	2088	16	2072
GMOY009444	0	0	0
GMOY009445	4	0	4
GMOY009446	645	7	638
GMOY009447	26	4	22
GMOY009448	694	3	691
GMOY009449	0	170	1
GMOY009450	111	1	281
GMOY009451	1606	9	1597
GMOY009452	300	4	296
GMOY009453	0	0	0
GMOY009454	695	3	692
GMOY009455	162	1	161
GMOY009456	25	1	24
GMOY009457	704	5	699
GMOY012754	1	1	0
GMOY012866	0	0	0
GMOY009458	0	0	0
GMOY009459	1	0	1
GMOY009460	223	33	190
GMOY009461	494	6	488
GMOY009462	226	2	224
GMOY009463	526	517	9
GMOY009464	75	4	71
GMOY009465	176	3	173
GMOY009466	5	0	5
GMOY009467	69	199	54
GMOY009468	0	3	179
GMOY009469	102	1	101
GMOY009470	952	9	943
GMOY009471	38	0	38
GMOY009472	76	1	75
GMOY009473	81	2	79
GMOY009474	114	3	111
GMOY013231	2	0	2
GMOY012193	0	0	0
GMOY009475	21	0	21
GMOY009476	560	5	555
GMOY009477	44	0	44
GMOY009478	6	0	6
GMOY009479	0	0	0
GMOY009480	0	0	0
GMOY009481	2	2	0
GMOY009482	0	0	0
GMOY009483	662	7	655
GMOY009484	497	52	493
GMOY009485	0	1	47
GMOY009486	142	0	142
GMOY009487	100	0	100
GMOY009488	51	2	49
GMOY009489	429	5	424
GMOY009490	343	1	346
GMOY009491	1562	23	1543
GMOY009492	420	1	419
GMOY009493	660	3	658
GMOY009494	37	2	35
GMOY009495	85	52	33
GMOY009496	10	5	13
GMOY012194	2	6	4
GMOY009497	178	2	177
GMOY009498	158	7	153
GMOY009499	116	1	116
GMOY009500	215	92	223
GMOY012991	134	28	206
GMOY009501	139	3	136
GMOY009502	1332	10	1322
GMOY009503	152	5	153
GMOY009504	334	18	322
GMOY009505	1312	8	1304
GMOY009506	22	0	22
GMOY009507	179	2	179
GMOY009508	0	0	2
GMOY009509	830	4	826
GMOY009510	361	1	360
GMOY009511	181	3	179
GMOY009512	8	0	8
GMOY009513	1	0	1
GMOY009514	1	1	0
GMOY009515	59	88	59
GMOY009516	0	1	87
GMOY012992	160	4	156
GMOY009517	256	4	252
GMOY009518	246	2	244
GMOY009519	280	3	277
GMOY009520	180	0	180
GMOY009521	215	1	214
GMOY009522	1155	7	1148
GMOY009523	96	9	87
GMOY009524	0	0	0
GMOY009525	39	0	39
GMOY009526	0	0	0
GMOY009527	292	2	290
GMOY009528	237	168	228
GMOY009529	0	0	159
GMOY009531	103	6	97
GMOY009532	24	11	14
GMOY009530	270	1	270
GMOY009533	56	0	56
GMOY009534	1523	24	1499
GMOY009535	405	3	402
GMOY009536	608	12	596
GMOY009537	220	3	217
GMOY009538	1	0	1
GMOY009539	3597	98	3499
GMOY009540	1411	20	1391
GMOY009541	962	13	949
GMOY009542	0	0	0
GMOY009543	143	0	143
GMOY009544	34	0	34
GMOY009545	0	0	0
GMOY009546	370	3	367
GMOY009547	0	0	0
GMOY009548	1	0	1
GMOY009549	249	6	243
GMOY009550	8	0	8
GMOY009551	1	1	0
GMOY009552	0	0	0
GMOY009553	12	0	12
GMOY009554	156	149	7
GMOY009555	341	115	226
GMOY009556	369	3	366
GMOY009557	8	0	8
GMOY009558	227	4	223
