N_unmapped	630897	630897	630897
N_multimapping	442383	442383	442383
N_noFeature	3189061	9586726	3379904
N_ambiguous	522606	4705	29938
GMOY005425	1	0	1
GMOY005426	1988	16	1972
GMOY005427	5	0	5
GMOY005428	544	13	531
GMOY005430	342	2	340
GMOY013236	173	75	98
GMOY012806	0	0	0
GMOY013263	245	2	243
GMOY005432	6195	133	6062
GMOY006719	7244	170	7074
GMOY006720	200	2	198
GMOY006721	0	0	0
GMOY006722	93	0	93
GMOY006723	124	2	122
GMOY005509	337	4	333
GMOY005510	4	4	0
GMOY004568	2	0	2
GMOY004569	0	0	0
GMOY002403	1044	88	956
GMOY002404	1	0	1
GMOY002405	549	7	542
GMOY006302	160	3	157
GMOY012847	0	0	0
GMOY006303	458	33	425
GMOY012701	0	0	0
GMOY007077	1	0	4
GMOY007078	3176	24	3155
GMOY007079	155	13	142
GMOY007080	41	0	41
GMOY007081	765	14	751
GMOY007082	43	0	43
GMOY007083	202	27	259
GMOY007084	14	61	37
GMOY007085	5991	69	5922
GMOY008638	840	22	818
GMOY008639	1238	13	1225
GMOY012739	0	0	0
GMOY008977	121	3	118
GMOY007065	54	3	99
GMOY007066	5	51	2
GMOY003957	415	4	411
GMOY003958	584	396	188
GMOY003921	0	0	0
GMOY003922	0	0	0
GMOY003923	0	0	0
GMOY003924	0	0	0
GMOY003925	0	0	0
GMOY003926	0	0	0
GMOY008466	388	5	383
GMOY008112	1675	17	1658
GMOY008113	650	8	642
GMOY007064	69	0	69
GMOY001070	491	2	489
GMOY001071	393	6	388
GMOY001072	68	2	67
GMOY001073	525	8	517
GMOY001074	345	6	339
GMOY001075	187	3	186
GMOY001076	302	13	291
GMOY001077	221	1	220
GMOY001078	80	16	68
GMOY001079	1032	24	1043
GMOY001080	3	26	8
GMOY001081	212	1	211
GMOY001082	73	2	71
GMOY001083	235	2	233
GMOY009909	76	0	76
GMOY009254	197	2	195
GMOY009255	83	0	83
GMOY009256	724	9	782
GMOY009257	1277	88	1353
GMOY012191	0	0	0
GMOY012192	0	93	3
GMOY009258	289	14	275
GMOY009259	204	3	201
GMOY009260	0	0	0
GMOY009440	10	1	9
GMOY009441	0	0	0
GMOY009442	1938	24	1914
GMOY009443	2552	37	2515
GMOY009444	1	0	1
GMOY009445	5	0	5
GMOY009446	546	3	543
GMOY009447	21	4	17
GMOY009448	554	4	550
GMOY009449	0	212	1
GMOY009450	97	1	309
GMOY009451	1978	35	1943
GMOY009452	245	6	239
GMOY009453	0	0	0
GMOY009454	594	6	588
GMOY009455	135	0	135
GMOY009456	52	3	49
