Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.6   	82                   	
A2  	24.29  	80                   	
A3  	17.74  	80                   	
A4  	18.55  	77                   	
A5  	18.4   	81.5                 	
A6  	18.9   	80.5                 	
A7  	22.21  	77.5                 	
A8  	19.79  	78                   	
A9  	20.25  	82.5                 	
A10 	21.85  	80.5                 	
A11 	23.82  	79.5                 	
A12 	19.86  	79                   	
B1  	19.1   	82                   	
B2  	24.45  	80                   	
B3  	18.2   	80                   	
B4  	18.72  	77                   	
B5  	18.81  	81.5                 	
B6  	19.66  	81                   	
B7  	22.68  	77.5                 	
B8  	20.56  	78                   	
B9  	20.97  	82.5                 	
B10 	22.53  	80.5                 	
B11 	24.81  	79.5                 	
B12 	20.77  	79                   	
C1  	19.15  	82                   	
C2  	24.65  	80                   	
C3  	20.74  	80                   	
C4  	19.34  	77                   	
C5  	18.9   	81.5                 	
C6  	19.82  	81.5                 	
C7  	22.8   	77.5                 	
C8  	20.73  	78.5                 	
C9  	25.61  	82.5                 	
C10 	24.54  	81                   	
C11 	24.92  	79.5                 	
C12 	20.91  	79                   	
D1  	19.21  	82                   	
D2  	24.83  	80                   	
D3  	21.62  	80                   	
D4  	19.85  	77                   	
D5  	18.84  	81.5                 	
D6  	19.87  	81                   	
D7  	22.93  	77.5                 	
D8  	20.35  	78.5                 	
D9  	28.03  	82.5                 	
D10 	25.31  	80.5                 	
D11 	24.82  	79.5                 	
D12 	20.92  	79                   	
E1  	19.19  	82                   	
E2  	26.46  	80                   	
E3  	26.61  	80                   	
E4  	19.97  	77                   	
E5  	18.88  	81.5                 	
E6  	20.01  	81                   	
E7  	22.95  	77.5                 	
E8  	20.14  	78.5                 	
E9  	28     	82.5                 	
E10 	25.84  	81                   	
E11 	24.82  	79.5                 	
E12 	21.2   	79                   	
F1  	19.96  	82                   	
F2  	26.69  	80                   	
F3  	26.5   	80                   	
F4  	20.7   	77                   	
F5  	19.59  	81.5                 	
F6  	20.51  	81                   	
F7  	23.83  	77.5                 	
F8  	20.92  	78.5                 	
F9  	30.65  	82.5                 	
F10 	26.61  	81                   	
F11 	25.63  	79.5                 	
F12 	21.74  	79                   	
G1  	18.98  	82                   	
G2  	24.95  	80                   	
G3  	23.84  	80                   	
G4  	19.73  	77                   	
G5  	18.82  	81.5                 	
G6  	19.15  	81                   	
G7  	22.59  	77.5                 	
G8  	20.04  	78                   	
G9  	25.98  	82.5                 	
G10 	24.79  	81                   	
G11 	24.49  	79.5                 	
G12 	20.8   	79                   	
H1  	No Cq  	57.5                 	
H2  	No Cq  	80.5                 	
H3  	No Cq  	80.5                 	
H4  	No Cq  	92.5                 	
H5  	No Cq  	57                   	
H6  	No Cq  	57.5                 	
H7  	No Cq  	95                   	
H8  	No Cq  	79                   	
H9  	No Cq  	57                   	
H10 	No Cq  	80.5                 	
H11 	No Cq  	57.5                 	
H12 	No Cq  	57                   	
