Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.74  	82                   	
A2  	25.21  	80                   	
A3  	26.02  	80                   	
A4  	20.3   	77                   	
A5  	18.44  	81.5                 	
A6  	19.76  	81                   	
A7  	22.36  	77.5                 	
A8  	20.21  	78.5                 	
A9  	29.53  	82.5                 	
A10 	25.48  	81                   	
A11 	24.6   	79.5                 	
A12 	20.73  	79                   	
B1  	20.92  	82                   	
B2  	28.62  	80                   	
B3  	26.32  	80                   	
B4  	21.65  	77.5                 	
B5  	20.7   	81.5                 	
B6  	21.9   	81.5                 	
B7  	24.58  	77.5                 	
B8  	22.18  	78.5                 	
B9  	29.79  	82.5                 	
B10 	27.45  	81                   	
B11 	26.81  	79.5                 	
B12 	22.69  	79                   	
C1  	18.99  	82.5                 	
C2  	26.73  	80                   	
C3  	26.24  	80                   	
C4  	19.91  	77.5                 	
C5  	18.77  	81.5                 	
C6  	19.82  	81                   	
C7  	22.58  	78                   	
C8  	19.94  	78.5                 	
C9  	38.76  	60                   	
C10 	26.33  	81                   	
C11 	24.95  	79.5                 	
C12 	21.41  	79                   	
D1  	18.99  	82.5                 	
D2  	27.38  	80                   	
D3  	27.24  	80                   	
D4  	20.4   	77.5                 	
D5  	18.7   	81.5                 	
D6  	20.39  	81                   	
D7  	22.55  	78                   	
D8  	19.94  	78.5                 	
D9  	31.2   	82.5                 	
D10 	26.69  	81                   	
D11 	24.85  	79.5                 	
D12 	21.53  	79                   	
E1  	18.92  	82.5                 	
E2  	26.66  	80                   	
E3  	26.6   	80                   	
E4  	20.37  	77.5                 	
E5  	18.66  	81.5                 	
E6  	20.38  	81                   	
E7  	22.53  	78                   	
E8  	19.91  	78.5                 	
E9  	30.47  	82.5                 	
E10 	26.72  	81                   	
E11 	24.68  	79.5                 	
E12 	21.69  	79                   	
F1  	19.12  	82                   	
F2  	26.62  	80                   	
F3  	26.82  	80                   	
F4  	20.31  	77.5                 	
F5  	18.87  	81.5                 	
F6  	19.88  	81.5                 	
F7  	22.83  	78                   	
F8  	20.5   	78.5                 	
F9  	27.76  	82.5                 	
F10 	26.71  	81                   	
F11 	25.08  	80                   	
F12 	21.58  	79                   	
G1  	20.84  	82.5                 	
G2  	27.83  	80                   	
G3  	28.82  	80                   	
G4  	21.95  	77.5                 	
G5  	20.54  	81.5                 	
G6  	21.92  	81                   	
G7  	24.02  	78                   	
G8  	21.61  	78.5                 	
G9  	31.8   	82.5                 	
G10 	28.33  	81                   	
G11 	26.79  	79.5                 	
G12 	22.61  	79                   	
H1  	No Cq  	57                   	
H2  	No Cq  	80.5                 	
H3  	No Cq  	95                   	
H4  	No Cq  	78                   	
H5  	No Cq  	55                   	
H6  	No Cq  	55                   	
H7  	No Cq  	77.5                 	
H8  	No Cq  	79                   	
H9  	No Cq  	57.5                 	
H10 	No Cq  	81                   	
H11 	No Cq  	58                   	
H12 	No Cq  	58                   	
