Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.66  	82.5                 	
A2  	24.44  	80                   	
A3  	25.14  	80                   	
A4  	19.44  	77.5                 	
A5  	18.5   	81.5                 	
A6  	19.4   	81.5                 	
A7  	21.87  	77.5                 	
A8  	19.74  	78.5                 	
A9  	28.47  	82.5                 	
A10 	25.18  	81                   	
A11 	24.56  	79.5                 	
A12 	19.93  	79                   	
B1  	18.84  	82.5                 	
B2  	25.2   	80                   	
B3  	23.33  	80                   	
B4  	19.67  	77.5                 	
B5  	18.66  	81.5                 	
B6  	19.7   	81                   	
B7  	22.61  	77.5                 	
B8  	19.94  	78.5                 	
B9  	26.08  	82.5                 	
B10 	25.46  	81                   	
B11 	24.75  	80                   	
B12 	20.9   	79                   	
C1  	19.75  	82.5                 	
C2  	27.18  	80                   	
C3  	25.63  	80                   	
C4  	20.69  	77.5                 	
C5  	19     	81.5                 	
C6  	20.9   	81.5                 	
C7  	23.51  	77.5                 	
C8  	20.71  	78.5                 	
C9  	30.05  	82.5                 	
C10 	27.18  	81                   	
C11 	25.47  	80                   	
C12 	21.75  	79                   	
D1  	20.75  	82.5                 	
D2  	26.64  	80                   	
D3  	24.79  	80                   	
D4  	20.87  	77.5                 	
D5  	20.18  	81.5                 	
D6  	21.56  	81.5                 	
D7  	24.53  	77.5                 	
D8  	21.84  	78.5                 	
D9  	30.53  	82.5                 	
D10 	26.69  	81                   	
D11 	26.17  	80                   	
D12 	22.55  	79                   	
E1  	19.75  	82.5                 	
E2  	27.17  	80                   	
E3  	25.59  	80                   	
E4  	20.75  	77.5                 	
E5  	19.55  	81.5                 	
E6  	21.38  	81                   	
E7  	23.5   	77.5                 	
E8  	20.92  	78.5                 	
E9  	30.76  	82.5                 	
E10 	26.45  	81                   	
E11 	25.84  	80                   	
E12 	21.74  	79                   	
F1  	18.78  	82.5                 	
F2  	25.81  	80                   	
F3  	25.37  	80                   	
F4  	19.66  	77.5                 	
F5  	17.95  	81.5                 	
F6  	19.89  	81.5                 	
F7  	22.52  	78                   	
F8  	19.81  	78.5                 	
F9  	28.64  	82.5                 	
F10 	25.48  	81                   	
F11 	24.49  	80                   	
F12 	20.79  	79                   	
G1  	18.93  	82.5                 	
G2  	26.35  	80                   	
G3  	24.99  	80                   	
G4  	19.88  	77.5                 	
G5  	18.78  	81.5                 	
G6  	20.47  	81.5                 	
G7  	22.61  	77.5                 	
G8  	20.03  	78.5                 	
G9  	30.9   	82.5                 	
G10 	25.87  	81                   	
G11 	24.82  	80                   	
G12 	21.13  	79                   	
H1  	No Cq  	55                   	
H2  	No Cq  	77.5                 	
H3  	No Cq  	79.5                 	
H4  	No Cq  	77.5                 	
H5  	No Cq  	55                   	
H6  	No Cq  	58.5                 	
H7  	No Cq  	78                   	
H8  	No Cq  	78                   	
H9  	39.58  	57.5                 	
H10 	No Cq  	81                   	
H11 	No Cq  	57.5                 	
H12 	36.81  	57.5                 	
