Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.91  	82                   	
A2  	27.45  	80                   	
A3  	27.97  	80                   	
A4  	20.9   	77                   	
A5  	18.76  	81.5                 	
A6  	20.78  	81                   	
A7  	22.68  	77.5                 	
A8  	20.75  	78.5                 	
A9  	28.08  	82.5                 	
A10 	27.61  	80.5                 	
A11 	24.89  	79.5                 	
A12 	21.92  	78.5                 	
B1  	18.82  	82                   	
B2  	26.53  	79.5                 	
B3  	27.56  	80                   	
B4  	20.66  	77                   	
B5  	18.74  	81.5                 	
B6  	20.52  	81                   	
B7  	22.59  	77.5                 	
B8  	19.93  	78.5                 	
B9  	29.42  	82.5                 	
B10 	26.31  	81                   	
B11 	24.7   	79.5                 	
B12 	21.59  	78.5                 	
C1  	18.03  	82                   	
C2  	25.62  	80                   	
C3  	25.42  	80                   	
C4  	19.8   	77                   	
C5  	18.58  	81.5                 	
C6  	19.87  	81                   	
C7  	22.41  	77.5                 	
C8  	19.73  	78.5                 	
C9  	28.76  	82.5                 	
C10 	25.69  	80.5                 	
C11 	24.71  	79.5                 	
C12 	20.93  	78.5                 	
D1  	17.98  	82                   	
D2  	24.62  	80                   	
D3  	22.97  	80                   	
D4  	19.56  	77                   	
D5  	18.42  	81.5                 	
D6  	19.57  	81                   	
D7  	22.25  	77.5                 	
D8  	19.68  	78                   	
D9  	28.09  	82.5                 	
D10 	24.76  	80.5                 	
D11 	24.09  	79.5                 	
D12 	20.69  	78.5                 	
E1  	18.65  	82                   	
E2  	25.7   	80                   	
E3  	26.3   	80                   	
E4  	20.4   	77                   	
E5  	18.43  	81.5                 	
E6  	19.8   	81.5                 	
E7  	22.31  	78                   	
E8  	19.81  	78.5                 	
E9  	30.43  	82.5                 	
E10 	25.69  	81                   	
E11 	24.58  	79.5                 	
E12 	20.98  	78.5                 	
F1  	18.82  	82                   	
F2  	25.82  	80                   	
F3  	26.78  	80                   	
F4  	20.6   	77                   	
F5  	18.77  	81.5                 	
F6  	20.53  	81.5                 	
F7  	22.56  	78                   	
F8  	20.08  	78.5                 	
F9  	29.5   	82.5                 	
F10 	25.87  	81                   	
F11 	24.84  	79.5                 	
F12 	21.62  	78.5                 	
G1  	19.12  	82                   	
G2  	26.82  	79.5                 	
G3  	26.78  	79.5                 	
G4  	20.93  	77                   	
G5  	19.47  	81.5                 	
G6  	20.56  	80.5                 	
G7  	22.72  	77.5                 	
G8  	20.71  	78                   	
G9  	30.61  	82                   	
G10 	26.66  	80.5                 	
G11 	24.88  	79.5                 	
G12 	21.88  	78.5                 	
H1  	No Cq  	57                   	
H2  	No Cq  	66                   	
H3  	No Cq  	55                   	
H4  	No Cq  	76.5                 	
H5  	No Cq  	55                   	
H6  	No Cq  	57.5                 	
H7  	No Cq  	95                   	
H8  	39.02  	79                   	
H9  	No Cq  	64                   	
H10 	No Cq  	74                   	
H11 	No Cq  	57.5                 	
H12 	No Cq  	55                   	
