Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	19.42  	82                   	
A2  	25.33  	80                   	
A3  	18.53  	80                   	
A4  	18.83  	77                   	
A5  	18.83  	81.5                 	
A6  	19.74  	81                   	
A7  	22.62  	77.5                 	
A8  	20.47  	78                   	
A9  	22.42  	82.5                 	
A10 	22.5   	81                   	
A11 	24.9   	79.5                 	
A12 	20.66  	79                   	
B1  	19.9   	82                   	
B2  	25.2   	80                   	
B3  	19.81  	80                   	
B4  	20.18  	77                   	
B5  	19.55  	81.5                 	
B6  	19.93  	81                   	
B7  	23.33  	77.5                 	
B8  	20.95  	78                   	
B9  	23.77  	82.5                 	
B10 	23.75  	80.5                 	
B11 	25.8   	79.5                 	
B12 	20.9   	79                   	
C1  	19.07  	82.5                 	
C2  	24.57  	80                   	
C3  	18.69  	80                   	
C4  	18.74  	77                   	
C5  	18.83  	81.5                 	
C6  	19.67  	81                   	
C7  	22.49  	77.5                 	
C8  	20.51  	78.5                 	
C9  	23.57  	82.5                 	
C10 	22.8   	81                   	
C11 	24.96  	79.5                 	
C12 	20.67  	79                   	
D1  	18.8   	82.5                 	
D2  	23.65  	80                   	
D3  	17.67  	80                   	
D4  	17.87  	77.5                 	
D5  	18.59  	81.5                 	
D6  	17.96  	81                   	
D7  	22.44  	77.5                 	
D8  	19.92  	78.5                 	
D9  	21.67  	82.5                 	
D10 	22.52  	81                   	
D11 	24.18  	79.5                 	
D12 	19.77  	79                   	
E1  	18.97  	82.5                 	
E2  	23.68  	80                   	
E3  	17.11  	80                   	
E4  	18.08  	77.5                 	
E5  	18.65  	81.5                 	
E6  	18.64  	81                   	
E7  	22.49  	77.5                 	
E8  	20.59  	78.5                 	
E9  	21.75  	82.5                 	
E10 	22.29  	81                   	
E11 	24.86  	79.5                 	
E12 	19.94  	79                   	
F1  	21.23  	82                   	
F2  	25.68  	80                   	
F3  	20.73  	80                   	
F4  	20.75  	77.5                 	
F5  	20.84  	81.5                 	
F6  	20.79  	81                   	
F7  	24.74  	77.5                 	
F8  	22.54  	78.5                 	
F9  	23.53  	82.5                 	
F10 	26.03  	81                   	
F11 	27.75  	79.5                 	
F12 	22.09  	79                   	
G1  	19.75  	82.5                 	
G2  	24.36  	80                   	
G3  	18.71  	80                   	
G4  	18.85  	77.5                 	
G5  	19.12  	81.5                 	
G6  	19.55  	81                   	
G7  	22.87  	77.5                 	
G8  	20.94  	78.5                 	
G9  	22.82  	82.5                 	
G10 	23.58  	81                   	
G11 	25.04  	79.5                 	
G12 	20.85  	79                   	
H1  	No Cq  	57.5                 	
H2  	No Cq  	80.5                 	
H3  	No Cq  	80                   	
H4  	No Cq  	77                   	
H5  	No Cq  	55                   	
H6  	No Cq  	57.5                 	
H7  	No Cq  	77.5                 	
H8  	No Cq  	78                   	
H9  	No Cq  	58                   	
H10 	No Cq  	80.5                 	
H11 	No Cq  	57.5                 	
H12 	No Cq  	57.5                 	
