Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	19.01  	82                   	
A2  	26.29  	80                   	
A3  	23.66  	79.5                 	
A4  	20.3   	77                   	
A5  	18.71  	81.5                 	
A6  	20.72  	81                   	
A7  	22.83  	77.5                 	
A8  	20.65  	78                   	
A9  	29.29  	82                   	
A10 	25.79  	80.5                 	
A11 	24.85  	79.5                 	
A12 	21.14  	78.5                 	
B1  	19.67  	82                   	
B2  	26.39  	80                   	
B3  	26.47  	80                   	
B4  	20.57  	77                   	
B5  	19.44  	81.5                 	
B6  	20.99  	81                   	
B7  	23.56  	77.5                 	
B8  	20.64  	78                   	
B9  	29.42  	82.5                 	
B10 	26.74  	80.5                 	
B11 	25.79  	79.5                 	
B12 	21.01  	78.5                 	
C1  	19.73  	82                   	
C2  	24.7   	80                   	
C3  	19.56  	80                   	
C4  	19.45  	77                   	
C5  	19.54  	81.5                 	
C6  	19.75  	81                   	
C7  	23.4   	77.5                 	
C8  	20.92  	78.5                 	
C9  	23.93  	82.5                 	
C10 	23.45  	81                   	
C11 	25.49  	79.5                 	
C12 	20.2   	78.5                 	
D1  	23.58  	82                   	
D2  	28.73  	80                   	
D3  	22.8   	80                   	
D4  	22.6   	77                   	
D5  	22.84  	81.5                 	
D6  	23.41  	81                   	
D7  	26.42  	77.5                 	
D8  	23.75  	78                   	
D9  	23.69  	82.5                 	
D10 	26.84  	81                   	
D11 	28.86  	79.5                 	
D12 	23.6   	78.5                 	
E1  	18.75  	82                   	
E2  	23.73  	80                   	
E3  	19.85  	80                   	
E4  	18.49  	77.5                 	
E5  	18.4   	81.5                 	
E6  	18.83  	81                   	
E7  	22.38  	77.5                 	
E8  	19.86  	78.5                 	
E9  	24.57  	82.5                 	
E10 	22.73  	81                   	
E11 	24.21  	79.5                 	
E12 	19.81  	78.5                 	
F1  	18.91  	82                   	
F2  	23.91  	80                   	
F3  	18.72  	80                   	
F4  	18.68  	77.5                 	
F5  	18.46  	81.5                 	
F6  	18.82  	81                   	
F7  	22.4   	77.5                 	
F8  	20.18  	78.5                 	
F9  	22.72  	82.5                 	
F10 	22.28  	81                   	
F11 	24.71  	79.5                 	
F12 	19.77  	78.5                 	
G1  	18.97  	82                   	
G2  	25.22  	80                   	
G3  	18.83  	80                   	
G4  	18.82  	77                   	
G5  	18.6   	81.5                 	
G6  	19.29  	81.5                 	
G7  	22.66  	77.5                 	
G8  	20.2   	78                   	
G9  	24.86  	82.5                 	
G10 	22.8   	81                   	
G11 	24.47  	79.5                 	
G12 	20.75  	78.5                 	
H1  	No Cq  	57.5                 	
H2  	No Cq  	95                   	
H3  	No Cq  	60.5                 	
H4  	No Cq  	77.5                 	
H5  	No Cq  	57                   	
H6  	No Cq  	66                   	
H7  	No Cq  	77.5                 	
H8  	No Cq  	78.5                 	
H9  	No Cq  	58                   	
H10 	No Cq  	80.5                 	
H11 	No Cq  	58                   	
H12 	No Cq  	60                   	
